pair_id,canonical_id,material_id_original,material_id_mutated,changed_attribute,original_value,mutated_value,expected_relation,difficulty
CF-PR-0026,CAN-023,MAT-0114,MAT-CF-0026,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0027,CAN-023,MAT-0115,MAT-CF-0027,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0028,CAN-024,MAT-0124,MAT-CF-0028,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0029,CAN-024,MAT-0125,MAT-CF-0029,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0030,CAN-024,MAT-0126,MAT-CF-0030,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0031,CAN-026,MAT-0131,MAT-CF-0031,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0032,CAN-026,MAT-0133,MAT-CF-0032,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0033,CAN-027,MAT-0139,MAT-CF-0033,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0034,CAN-027,MAT-0140,MAT-CF-0034,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0035,CAN-028,MAT-0142,MAT-CF-0035,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0036,CAN-028,MAT-0145,MAT-CF-0036,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0037,CAN-028,MAT-0149,MAT-CF-0037,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0038,CAN-030,MAT-0153,MAT-CF-0038,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0039,CAN-031,MAT-0163,MAT-CF-0039,grade,B7,B7X,VARIANT_OF,HARD
CF-PR-0040,CAN-032,MAT-0170,MAT-CF-0040,grade,10.9,10.9X,VARIANT_OF,HARD
CF-PR-0041,CAN-035,MAT-0185,MAT-CF-0041,grade,10.9,10.9X,VARIANT_OF,HARD
CF-PR-0042,CAN-037,MAT-0196,MAT-CF-0042,grade,8.8,8.8X,VARIANT_OF,HARD
CF-PR-0043,CAN-037,MAT-0197,MAT-CF-0043,grade,8.8,8.8X,VARIANT_OF,HARD
CF-PR-0044,CAN-038,MAT-0203,MAT-CF-0044,grade,B7,B7X,VARIANT_OF,HARD
CF-PR-0045,CAN-039,MAT-0205,MAT-CF-0045,grade,B7,B7X,VARIANT_OF,HARD
CF-PR-0046,CAN-039,MAT-0206,MAT-CF-0046,grade,B7,B7X,VARIANT_OF,HARD
CF-PR-0047,CAN-040,MAT-0211,MAT-CF-0047,grade,8.8,8.8X,VARIANT_OF,HARD
CF-PR-0048,CAN-041,MAT-0216,MAT-CF-0048,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0049,CAN-041,MAT-0217,MAT-CF-0049,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0050,CAN-041,MAT-0221,MAT-CF-0050,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0051,CAN-042,MAT-0223,MAT-CF-0051,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0052,CAN-042,MAT-0225,MAT-CF-0052,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0053,CAN-043,MAT-0227,MAT-CF-0053,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0054,CAN-044,MAT-0233,MAT-CF-0054,voltage,11 kV,11 kVX,VARIANT_OF,HARD
CF-PR-0055,CAN-045,MAT-0239,MAT-CF-0055,voltage,3.3 kV,3.3 kVX,VARIANT_OF,HARD
CF-PR-0056,CAN-046,MAT-0246,MAT-CF-0056,voltage,3.3 kV,3.3 kVX,VARIANT_OF,HARD
CF-PR-0057,CAN-047,MAT-0253,MAT-CF-0057,voltage,3.3 kV,3.3 kVX,VARIANT_OF,HARD
CF-PR-0058,CAN-047,MAT-0255,MAT-CF-0058,voltage,3.3 kV,3.3 kVX,VARIANT_OF,HARD
CF-PR-0059,CAN-050,MAT-0268,MAT-CF-0059,voltage,1.1 kV,1.1 kVX,VARIANT_OF,HARD
