pair_id,material_id_a,cpse_a,material_id_b,cpse_b,relation_type,decision_status,conflict_attributes,conflict_tier,difficulty,source_type
PR-0015,MAT-0020,CPSE_04,MAT-0021,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0016,MAT-0020,CPSE_04,MAT-0023,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0017,MAT-0020,CPSE_04,MAT-0024,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0018,MAT-0021,CPSE_05,MAT-0025,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0019,MAT-0027,CPSE_05,MAT-0029,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0020,MAT-0028,CPSE_05,MAT-0029,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0021,MAT-0028,CPSE_05,MAT-0031,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0022,MAT-0032,CPSE_04,MAT-0034,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0023,MAT-0032,CPSE_04,MAT-0035,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0024,MAT-0033,CPSE_01,MAT-0034,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0025,MAT-0034,CPSE_02,MAT-0035,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0026,MAT-0034,CPSE_02,MAT-0037,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0027,MAT-0035,CPSE_05,MAT-0037,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0028,MAT-0035,CPSE_05,MAT-0038,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0029,MAT-0035,CPSE_05,MAT-0039,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0030,MAT-0036,CPSE_05,MAT-0038,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0031,MAT-0036,CPSE_05,MAT-0039,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0032,MAT-0041,CPSE_01,MAT-0043,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0033,MAT-0042,CPSE_02,MAT-0045,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0034,MAT-0043,CPSE_02,MAT-0044,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0035,MAT-0046,CPSE_01,MAT-0048,CPSE_01,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0036,MAT-0052,CPSE_01,MAT-0054,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0037,MAT-0052,CPSE_01,MAT-0057,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0038,MAT-0053,CPSE_05,MAT-0054,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0039,MAT-0053,CPSE_05,MAT-0055,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0040,MAT-0053,CPSE_05,MAT-0056,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0041,MAT-0054,CPSE_05,MAT-0055,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0042,MAT-0054,CPSE_05,MAT-0056,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0043,MAT-0055,CPSE_01,MAT-0056,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0044,MAT-0061,CPSE_04,MAT-0063,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0045,MAT-0061,CPSE_04,MAT-0064,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0046,MAT-0062,CPSE_03,MAT-0066,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0047,MAT-0062,CPSE_03,MAT-0067,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0048,MAT-0064,CPSE_03,MAT-0066,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0049,MAT-0071,CPSE_02,MAT-0072,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0050,MAT-0071,CPSE_02,MAT-0074,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0051,MAT-0075,CPSE_02,MAT-0076,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0052,MAT-0076,CPSE_04,MAT-0077,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0053,MAT-0076,CPSE_04,MAT-0078,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0054,MAT-0079,CPSE_01,MAT-0081,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0055,MAT-0079,CPSE_01,MAT-0084,CPSE_01,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0056,MAT-0080,CPSE_05,MAT-0081,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0057,MAT-0080,CPSE_05,MAT-0085,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0058,MAT-0081,CPSE_05,MAT-0083,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0059,MAT-0081,CPSE_05,MAT-0085,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0060,MAT-0087,CPSE_04,MAT-0089,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0061,MAT-0091,CPSE_04,MAT-0092,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0062,MAT-0091,CPSE_04,MAT-0096,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0063,MAT-0091,CPSE_04,MAT-0097,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0064,MAT-0091,CPSE_04,MAT-0098,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0065,MAT-0093,CPSE_05,MAT-0096,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0066,MAT-0093,CPSE_05,MAT-0097,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0067,MAT-0093,CPSE_05,MAT-0098,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0068,MAT-0094,CPSE_05,MAT-0098,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0069,MAT-0096,CPSE_04,MAT-0098,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0070,MAT-0099,CPSE_04,MAT-0100,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0071,MAT-0103,CPSE_01,MAT-0105,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0072,MAT-0107,CPSE_04,MAT-0109,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0073,MAT-0112,CPSE_02,MAT-0113,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0074,MAT-0114,CPSE_03,MAT-0117,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0075,MAT-0114,CPSE_03,MAT-0118,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0076,MAT-0115,CPSE_04,MAT-0116,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0077,MAT-0116,CPSE_01,MAT-0117,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0078,MAT-0119,CPSE_03,MAT-0121,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0079,MAT-0119,CPSE_03,MAT-0122,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0080,MAT-0119,CPSE_03,MAT-0123,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0081,MAT-0119,CPSE_03,MAT-0124,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0082,MAT-0120,CPSE_04,MAT-0121,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0083,MAT-0120,CPSE_04,MAT-0123,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0084,MAT-0121,CPSE_02,MAT-0122,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0085,MAT-0121,CPSE_02,MAT-0126,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0086,MAT-0122,CPSE_01,MAT-0124,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0087,MAT-0127,CPSE_02,MAT-0129,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0088,MAT-0127,CPSE_02,MAT-0130,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0089,MAT-0128,CPSE_02,MAT-0129,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0090,MAT-0132,CPSE_03,MAT-0135,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0091,MAT-0134,CPSE_04,MAT-0135,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0092,MAT-0137,CPSE_02,MAT-0141,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0093,MAT-0138,CPSE_04,MAT-0139,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0094,MAT-0138,CPSE_04,MAT-0140,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0095,MAT-0142,CPSE_05,MAT-0143,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0096,MAT-0142,CPSE_05,MAT-0145,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0097,MAT-0142,CPSE_05,MAT-0146,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0098,MAT-0142,CPSE_05,MAT-0147,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0099,MAT-0142,CPSE_05,MAT-0149,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0100,MAT-0143,CPSE_01,MAT-0145,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0101,MAT-0143,CPSE_01,MAT-0149,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0102,MAT-0144,CPSE_02,MAT-0145,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0103,MAT-0144,CPSE_02,MAT-0149,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0104,MAT-0145,CPSE_02,MAT-0146,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0105,MAT-0145,CPSE_02,MAT-0147,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0106,MAT-0146,CPSE_03,MAT-0149,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0107,MAT-0147,CPSE_04,MAT-0148,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0108,MAT-0154,CPSE_01,MAT-0155,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0109,MAT-0154,CPSE_01,MAT-0157,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0110,MAT-0154,CPSE_01,MAT-0158,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0111,MAT-0157,CPSE_02,MAT-0158,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0112,MAT-0158,CPSE_05,MAT-0160,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0113,MAT-0164,CPSE_02,MAT-0170,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0114,MAT-0165,CPSE_02,MAT-0167,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0115,MAT-0165,CPSE_02,MAT-0168,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0116,MAT-0165,CPSE_02,MAT-0169,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0117,MAT-0166,CPSE_02,MAT-0167,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0118,MAT-0166,CPSE_02,MAT-0171,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0119,MAT-0167,CPSE_01,MAT-0170,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0120,MAT-0167,CPSE_01,MAT-0171,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0121,MAT-0168,CPSE_01,MAT-0169,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0122,MAT-0169,CPSE_05,MAT-0170,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0123,MAT-0169,CPSE_05,MAT-0171,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0124,MAT-0172,CPSE_04,MAT-0173,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0125,MAT-0172,CPSE_04,MAT-0174,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0126,MAT-0175,CPSE_01,MAT-0179,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0127,MAT-0175,CPSE_01,MAT-0181,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0128,MAT-0176,CPSE_03,MAT-0178,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0129,MAT-0177,CPSE_04,MAT-0178,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0130,MAT-0177,CPSE_04,MAT-0181,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0131,MAT-0178,CPSE_02,MAT-0181,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0132,MAT-0180,CPSE_04,MAT-0181,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0133,MAT-0184,CPSE_01,MAT-0185,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0134,MAT-0186,CPSE_05,MAT-0187,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0135,MAT-0186,CPSE_05,MAT-0188,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0136,MAT-0187,CPSE_04,MAT-0189,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0137,MAT-0187,CPSE_04,MAT-0193,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0138,MAT-0188,CPSE_02,MAT-0190,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0139,MAT-0188,CPSE_02,MAT-0192,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0140,MAT-0189,CPSE_05,MAT-0190,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0141,MAT-0189,CPSE_05,MAT-0192,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0142,MAT-0190,CPSE_04,MAT-0193,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0143,MAT-0194,CPSE_03,MAT-0196,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0144,MAT-0194,CPSE_03,MAT-0197,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0145,MAT-0195,CPSE_05,MAT-0196,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0146,MAT-0196,CPSE_01,MAT-0198,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0147,MAT-0198,CPSE_05,MAT-0199,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0148,MAT-0202,CPSE_01,MAT-0204,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0149,MAT-0205,CPSE_01,MAT-0206,CPSE_01,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0150,MAT-0207,CPSE_04,MAT-0209,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0151,MAT-0208,CPSE_05,MAT-0209,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0152,MAT-0210,CPSE_03,MAT-0212,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0153,MAT-0210,CPSE_03,MAT-0213,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0154,MAT-0211,CPSE_02,MAT-0212,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0155,MAT-0213,CPSE_03,MAT-0214,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0156,MAT-0215,CPSE_02,MAT-0216,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0157,MAT-0215,CPSE_02,MAT-0218,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0158,MAT-0215,CPSE_02,MAT-0219,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0159,MAT-0216,CPSE_02,MAT-0219,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0160,MAT-0216,CPSE_02,MAT-0221,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0161,MAT-0216,CPSE_02,MAT-0222,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0162,MAT-0217,CPSE_03,MAT-0219,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0163,MAT-0218,CPSE_03,MAT-0220,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0164,MAT-0218,CPSE_03,MAT-0221,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0165,MAT-0218,CPSE_03,MAT-0222,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0166,MAT-0220,CPSE_05,MAT-0221,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0167,MAT-0220,CPSE_05,MAT-0222,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0168,MAT-0223,CPSE_04,MAT-0226,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0169,MAT-0227,CPSE_01,MAT-0230,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0170,MAT-0228,CPSE_05,MAT-0229,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0171,MAT-0229,CPSE_04,MAT-0230,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0172,MAT-0233,CPSE_04,MAT-0234,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0173,MAT-0236,CPSE_04,MAT-0237,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0174,MAT-0239,CPSE_04,MAT-0241,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0175,MAT-0239,CPSE_04,MAT-0243,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0176,MAT-0240,CPSE_01,MAT-0242,CPSE_01,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0177,MAT-0241,CPSE_01,MAT-0243,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0178,MAT-0242,CPSE_01,MAT-0243,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0179,MAT-0244,CPSE_05,MAT-0247,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0180,MAT-0244,CPSE_05,MAT-0248,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0181,MAT-0245,CPSE_04,MAT-0249,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0182,MAT-0246,CPSE_01,MAT-0250,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0183,MAT-0247,CPSE_02,MAT-0249,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0184,MAT-0248,CPSE_01,MAT-0249,CPSE_01,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0185,MAT-0250,CPSE_04,MAT-0251,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0186,MAT-0252,CPSE_05,MAT-0253,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0187,MAT-0252,CPSE_05,MAT-0255,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0188,MAT-0252,CPSE_05,MAT-0256,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0189,MAT-0252,CPSE_05,MAT-0257,CPSE_05,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0190,MAT-0252,CPSE_05,MAT-0258,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0191,MAT-0253,CPSE_05,MAT-0256,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0192,MAT-0254,CPSE_03,MAT-0256,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0193,MAT-0254,CPSE_03,MAT-0258,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0194,MAT-0256,CPSE_04,MAT-0259,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0195,MAT-0257,CPSE_05,MAT-0258,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0196,MAT-0260,CPSE_03,MAT-0261,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0197,MAT-0261,CPSE_05,MAT-0262,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0198,MAT-0263,CPSE_03,MAT-0266,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0199,MAT-0264,CPSE_02,MAT-0267,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0200,MAT-0265,CPSE_02,MAT-0266,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0201,MAT-0268,CPSE_02,MAT-0269,CPSE_02,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0202,MAT-0139,CPSE_02,MAT-0258,CPSE_03,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
PR-0203,MAT-0262,CPSE_02,MAT-0072,CPSE_03,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
PR-0204,MAT-0249,CPSE_01,MAT-0064,CPSE_03,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
PR-0205,MAT-0019,CPSE_04,MAT-0223,CPSE_04,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
PR-0206,MAT-0222,CPSE_05,MAT-0151,CPSE_05,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
PR-0207,MAT-0263,CPSE_03,MAT-0258,CPSE_03,DISTINCT,APPROVED,multiple,severe,NORMAL,SYNTHETIC
