material_id,cpse_id,canonical_id,material_code,description_original,base_uom,source_system,source_record_id,source_file,source_row,ingestion_timestamp,processing_version,source_type
MAT-0047,CPSE_02,CAN-009,MAT-23968,CHECK VALVE ALLOY STEEL DN50 CLASS 300,Nos,SAP_ECC,REC-47,synthetic_generator,47,2026-09-18T22:42:29.594942,2.0,SYNTHETIC
MAT-0048,CPSE_01,CAN-009,MAT-32702,CHECK VALVE ALLOY STEEL DN50 CLASS 300,PCS,SAP_ECC,REC-48,synthetic_generator,48,2026-09-18T22:42:29.594960,2.0,SYNTHETIC
MAT-0049,CPSE_01,CAN-010,MAT-12617,GLOBE VALVE ALLOY STEEL DN50,PCS,SAP_S4HANA,REC-49,synthetic_generator,49,2026-09-18T22:42:29.595143,2.0,SYNTHETIC
MAT-0050,CPSE_05,CAN-010,MAT-87933,GLOBE VALVE ALLOY STEEL DN50 CLASS 150,PCS,SAP_ECC,REC-50,synthetic_generator,50,2026-09-18T22:42:29.595166,2.0,SYNTHETIC
MAT-0051,CPSE_01,CAN-010,MAT-90941,GLOBE VALVE ALLOY STEEL DN50 150#,PCS,SAP_ECC,REC-51,synthetic_generator,51,2026-09-18T22:42:29.595189,2.0,SYNTHETIC
MAT-0052,CPSE_01,CAN-011,MAT-25899,GATE VALVE CARBON STEEL DN50 CLASS 600,Nos,SAP_S4HANA,REC-52,synthetic_generator,52,2026-09-18T22:42:29.595378,2.0,SYNTHETIC
MAT-0053,CPSE_05,CAN-011,MAT-18763,GATE VALVE CARBON STEEL DN50 CLASS,No,SAP_S4HANA,REC-53,synthetic_generator,53,2026-09-18T22:42:29.595405,2.0,SYNTHETIC
MAT-CF-0009,CPSE_05,CAN-011_VARIANT,MAT-47506,GATE VALVE CARBON STEEL DN50 CLASS 600X,No,SAP_ECC,REC-CF-9,synthetic_generator,53,2026-09-18T22:42:29.595435,2.0,SYNTHETIC_MUTATION
MAT-0054,CPSE_05,CAN-011,MAT-20239,GATE V/V C.S. DN50 CLASS 600,no,SAP_ECC,REC-54,synthetic_generator,54,2026-09-18T22:42:29.595461,2.0,SYNTHETIC
MAT-0055,CPSE_01,CAN-011,MAT-81461,GATE VALVE CARBON STEEL DN50 CLASS 600,no,SAP_ECC,REC-55,synthetic_generator,55,2026-09-18T22:42:29.595480,2.0,SYNTHETIC
MAT-0056,CPSE_03,CAN-011,MAT-91404,GATE VALVE CARBON STEEL DN50 CLASS 600,EA,SAP_ECC,REC-56,synthetic_generator,56,2026-09-18T22:42:29.595498,2.0,SYNTHETIC
MAT-0057,CPSE_02,CAN-011,MAT-20879,GATE VALVE CARBON STEEL DN50 CLASS 600,no,SAP_S4HANA,REC-57,synthetic_generator,57,2026-09-18T22:42:29.595517,2.0,SYNTHETIC
MAT-0058,CPSE_04,CAN-012,MAT-93158,GLOBE VALVE S.S. DN50 CLASS,EACH,SAP_S4HANA,REC-58,synthetic_generator,58,2026-09-18T22:42:29.595724,2.0,SYNTHETIC
MAT-0059,CPSE_01,CAN-012,MAT-89560,GLOBE VALVE SS DN50 CLASS,no,SAP_S4HANA,REC-59,synthetic_generator,59,2026-09-18T22:42:29.595754,2.0,SYNTHETIC
MAT-0060,CPSE_01,CAN-012,MAT-79954,GLOBE VALVE STAINLESS STEEL DN50 CLASS 300,No,SAP_ECC,REC-60,synthetic_generator,60,2026-09-18T22:42:29.595779,2.0,SYNTHETIC
MAT-0061,CPSE_04,CAN-013,MAT-12112,CHECK VALVE ALLOY STEEL DN150 CLASS 300,Nos.,SAP_ECC,REC-61,synthetic_generator,61,2026-09-18T22:42:29.595959,2.0,SYNTHETIC
MAT-0062,CPSE_03,CAN-013,MAT-33383,CHECK VALVE ALLOY STEEL DN150 CLASS,no,SAP_ECC,REC-62,synthetic_generator,62,2026-09-18T22:42:29.595986,2.0,SYNTHETIC
MAT-0063,CPSE_05,CAN-013,MAT-80021,CHECK VALVE ALLOY STEEL DN150 CLASS 300,Nos,SAP_ECC,REC-63,synthetic_generator,63,2026-09-18T22:42:29.596008,2.0,SYNTHETIC
MAT-0064,CPSE_03,CAN-013,MAT-43734,CHECK VALVE ALLOY STEEL DN150 CLASS 300,Nos.,SAP_ECC,REC-64,synthetic_generator,64,2026-09-18T22:42:29.596028,2.0,SYNTHETIC
MAT-0065,CPSE_01,CAN-013,MAT-13907,CHECK VALVE ALLOY STEEL DN150 CLASS 300,Nos,SAP_S4HANA,REC-65,synthetic_generator,65,2026-09-18T22:42:29.596049,2.0,SYNTHETIC
MAT-0066,CPSE_04,CAN-013,MAT-84337,CHECK VALVE ALLOY STEEL DN150 CLASS 300,No,SAP_S4HANA,REC-66,synthetic_generator,66,2026-09-18T22:42:29.596068,2.0,SYNTHETIC
MAT-0067,CPSE_04,CAN-013,MAT-14084,CHECK VALVE ALLOY STEEL DN150 CLASS 300,no,SAP_S4HANA,REC-67,synthetic_generator,67,2026-09-18T22:42:29.596087,2.0,SYNTHETIC
MAT-CF-0010,CPSE_04,CAN-013_VARIANT,MAT-63798,CHECK VALVE ALLOY STEEL DN150 CLASS 300X,no,SAP_ECC,REC-CF-10,synthetic_generator,67,2026-09-18T22:42:29.596109,2.0,SYNTHETIC_MUTATION
MAT-0068,CPSE_04,CAN-014,MAT-60324,CHECK VALVE CS DN50 CLASS 600,No.,SAP_ECC,REC-68,synthetic_generator,68,2026-09-18T22:42:29.596289,2.0,SYNTHETIC
MAT-0069,CPSE_05,CAN-014,MAT-35750,CHECK VALVE CARBON STEEL DN50 CLASS,Nos.,SAP_S4HANA,REC-69,synthetic_generator,69,2026-09-18T22:42:29.596314,2.0,SYNTHETIC
MAT-0070,CPSE_02,CAN-014,MAT-80192,CHECK VALVE C.S. DN50 CLASS 600,Nos,SAP_S4HANA,REC-70,synthetic_generator,70,2026-09-18T22:42:29.596336,2.0,SYNTHETIC
MAT-CF-0011,CPSE_02,CAN-014_VARIANT,MAT-26262,CHECK VALVE CARBON STEEL DN50 CLASS 600X,Nos,SAP_ECC,REC-CF-11,synthetic_generator,70,2026-09-18T22:42:29.596359,2.0,SYNTHETIC_MUTATION
MAT-0071,CPSE_02,CAN-015,MAT-32867,GLOBE VALVE CARBON STEEL DN50 CLASS 600,EACH,SAP_ECC,REC-71,synthetic_generator,71,2026-09-18T22:42:29.596537,2.0,SYNTHETIC
MAT-CF-0012,CPSE_02,CAN-015_VARIANT,MAT-56004,GLOBE VALVE CARBON STEEL DN50 CLASS 600X,EACH,SAP_ECC,REC-CF-12,synthetic_generator,71,2026-09-18T22:42:29.596563,2.0,SYNTHETIC_MUTATION
MAT-0072,CPSE_03,CAN-015,MAT-77613,GLOBE VALVE CARBON STEEL DN50 CLASS 600,Nos.,SAP_ECC,REC-72,synthetic_generator,72,2026-09-18T22:42:29.596584,2.0,SYNTHETIC
MAT-CF-0013,CPSE_03,CAN-015_VARIANT,MAT-69032,GLOBE VALVE CARBON STEEL DN50 CLASS 600X,Nos.,SAP_ECC,REC-CF-13,synthetic_generator,72,2026-09-18T22:42:29.596606,2.0,SYNTHETIC_MUTATION
MAT-0073,CPSE_04,CAN-015,MAT-20370,GLOBE VALVE CS DN50 CLASS 600,No.,SAP_ECC,REC-73,synthetic_generator,73,2026-09-18T22:42:29.596629,2.0,SYNTHETIC
MAT-0074,CPSE_02,CAN-015,MAT-83145,GLOBE VALVE CS DN50 CLASS 600,No.,SAP_S4HANA,REC-74,synthetic_generator,74,2026-09-18T22:42:29.596651,2.0,SYNTHETIC
MAT-0075,CPSE_02,CAN-015,MAT-47630,GLOBE VALVE C.S. DN50 CLASS 600,no,SAP_S4HANA,REC-75,synthetic_generator,75,2026-09-18T22:42:29.596672,2.0,SYNTHETIC
MAT-0076,CPSE_04,CAN-015,MAT-14384,GLOBE VALVE CARBON STEEL DN50 CLASS,Nos.,SAP_ECC,REC-76,synthetic_generator,76,2026-09-18T22:42:29.596694,2.0,SYNTHETIC
MAT-0077,CPSE_04,CAN-015,MAT-45203,GLOBE VALVE C.S. DN50 CLASS 600,Nos.,SAP_ECC,REC-77,synthetic_generator,77,2026-09-18T22:42:29.596715,2.0,SYNTHETIC
MAT-0078,CPSE_05,CAN-015,MAT-14569,GLOBE VALVE CARBON STEEL DN50 CLASS 600,no,SAP_ECC,REC-78,synthetic_generator,78,2026-09-18T22:42:29.596733,2.0,SYNTHETIC
MAT-0079,CPSE_01,CAN-016,MAT-63506,PIPE HDPE PE100 DN50,MTR,SAP_S4HANA,REC-79,synthetic_generator,79,2026-09-18T22:42:29.596913,2.0,SYNTHETIC
MAT-CF-0014,CPSE_01,CAN-016_VARIANT,MAT-21493,PIPE HDPE PE100 DN50X SCH10S,MTR,SAP_ECC,REC-CF-14,synthetic_generator,79,2026-09-18T22:42:29.596966,2.0,SYNTHETIC_MUTATION
MAT-0080,CPSE_05,CAN-016,MAT-21864,PIPE HDPE PE100 DN50 SCH10S,Meter,SAP_S4HANA,REC-80,synthetic_generator,80,2026-09-18T22:42:29.596995,2.0,SYNTHETIC
MAT-0081,CPSE_05,CAN-016,MAT-86210,PIPE HDPE PE100 DN50 SCH10S,m,SAP_S4HANA,REC-81,synthetic_generator,81,2026-09-18T22:42:29.597014,2.0,SYNTHETIC
MAT-CF-0015,CPSE_05,CAN-016_VARIANT,MAT-51163,PIPE HDPE PE100 DN50X SCH10S,m,SAP_ECC,REC-CF-15,synthetic_generator,81,2026-09-18T22:42:29.597043,2.0,SYNTHETIC_MUTATION
MAT-0082,CPSE_03,CAN-016,MAT-36250,PIPE HDPE PE100 DN50 SCH10S,M,SAP_S4HANA,REC-82,synthetic_generator,82,2026-09-18T22:42:29.597063,2.0,SYNTHETIC
MAT-0083,CPSE_04,CAN-016,MAT-85748,PIPE HDPE PE100 DN50 SCH10S,Meter,SAP_ECC,REC-83,synthetic_generator,83,2026-09-18T22:42:29.597082,2.0,SYNTHETIC
MAT-0084,CPSE_01,CAN-016,MAT-60156,PIPE HDPE PE100 DN50,MTR,SAP_S4HANA,REC-84,synthetic_generator,84,2026-09-18T22:42:29.597104,2.0,SYNTHETIC
MAT-CF-0016,CPSE_01,CAN-016_VARIANT,MAT-66559,PIPE HDPE PE100 DN50X SCH10S,MTR,SAP_ECC,REC-CF-16,synthetic_generator,84,2026-09-18T22:42:29.597131,2.0,SYNTHETIC_MUTATION
MAT-0085,CPSE_04,CAN-016,MAT-10976,PIPE HDPE PE100 DN50 SCH10S,Meter,SAP_ECC,REC-85,synthetic_generator,85,2026-09-18T22:42:29.597150,2.0,SYNTHETIC
MAT-0086,CPSE_05,CAN-017,MAT-93386,PIPE S.S. PE100 DN100 SCH80,M,SAP_S4HANA,REC-86,synthetic_generator,86,2026-09-18T22:42:29.597337,2.0,SYNTHETIC
MAT-0087,CPSE_04,CAN-017,MAT-78809,PIPE S.S. PE100 DN100 SCH80,Meter,SAP_ECC,REC-87,synthetic_generator,87,2026-09-18T22:42:29.597364,2.0,SYNTHETIC
MAT-CF-0017,CPSE_04,CAN-017_VARIANT,MAT-85517,PIPE STAINLESS STEEL PE100 DN150 SCH80,Meter,SAP_ECC,REC-CF-17,synthetic_generator,87,2026-09-18T22:42:29.597395,2.0,SYNTHETIC_MUTATION
MAT-0088,CPSE_03,CAN-017,MAT-10311,PIPE STAINLESS STEEL PE100 DN100 SCH80,M,SAP_S4HANA,REC-88,synthetic_generator,88,2026-09-18T22:42:29.597417,2.0,SYNTHETIC
MAT-0089,CPSE_04,CAN-017,MAT-93944,PIPE STAINLESS STEEL PE100 DN100 SCH80,m,SAP_ECC,REC-89,synthetic_generator,89,2026-09-18T22:42:29.597436,2.0,SYNTHETIC
MAT-CF-0018,CPSE_04,CAN-017_VARIANT,MAT-46692,PIPE STAINLESS STEEL PE100 DN150 SCH80,m,SAP_ECC,REC-CF-18,synthetic_generator,89,2026-09-18T22:42:29.597467,2.0,SYNTHETIC_MUTATION
MAT-0090,CPSE_01,CAN-017,MAT-96667,PIPE STAINLESS STEEL PE100 DN100 SCH80,m,SAP_S4HANA,REC-90,synthetic_generator,90,2026-09-18T22:42:29.597487,2.0,SYNTHETIC
MAT-0091,CPSE_04,CAN-018,MAT-70589,PIPE PVC TP316L DN100 SCH80,Meter,SAP_ECC,REC-91,synthetic_generator,91,2026-09-18T22:42:29.597670,2.0,SYNTHETIC
MAT-0092,CPSE_02,CAN-018,MAT-57435,PIPE PVC TP316L DN100 SCH80,Meter,SAP_S4HANA,REC-92,synthetic_generator,92,2026-09-18T22:42:29.597695,2.0,SYNTHETIC
MAT-0093,CPSE_05,CAN-018,MAT-90915,PIPE PVC TP316L DN100 SCH80,m,SAP_ECC,REC-93,synthetic_generator,93,2026-09-18T22:42:29.597730,2.0,SYNTHETIC
MAT-CF-0019,CPSE_05,CAN-018_VARIANT,MAT-52294,PIPE PVC TP316L DN150 SCH80,m,SAP_ECC,REC-CF-19,synthetic_generator,93,2026-09-18T22:42:29.597761,2.0,SYNTHETIC_MUTATION
MAT-0094,CPSE_05,CAN-018,MAT-42268,PIPE PVC TP316L DN100 SCH80,MTR,SAP_ECC,REC-94,synthetic_generator,94,2026-09-18T22:42:29.597781,2.0,SYNTHETIC
MAT-CF-0020,CPSE_05,CAN-018_VARIANT,MAT-14654,PIPE PVC TP316L DN150 SCH80,MTR,SAP_ECC,REC-CF-20,synthetic_generator,94,2026-09-18T22:42:29.597807,2.0,SYNTHETIC_MUTATION
MAT-0095,CPSE_01,CAN-018,MAT-66934,PIPE PVC TP316L DN100,M,SAP_ECC,REC-95,synthetic_generator,95,2026-09-18T22:42:29.597831,2.0,SYNTHETIC
MAT-0096,CPSE_04,CAN-018,MAT-25255,PIPE PVC TP316L DN100 SCH80,MTR,SAP_S4HANA,REC-96,synthetic_generator,96,2026-09-18T22:42:29.597851,2.0,SYNTHETIC
MAT-0097,CPSE_05,CAN-018,MAT-53831,PIPE PVC TP316L DN100,MTR,SAP_ECC,REC-97,synthetic_generator,97,2026-09-18T22:42:29.597872,2.0,SYNTHETIC
MAT-CF-0021,CPSE_05,CAN-018_VARIANT,MAT-68612,PIPE PVC TP316L DN150 SCH80,MTR,SAP_ECC,REC-CF-21,synthetic_generator,97,2026-09-18T22:42:29.597897,2.0,SYNTHETIC_MUTATION
MAT-0098,CPSE_03,CAN-018,MAT-63735,PIPE PVC TP316L DN100 SCH80,MTR,SAP_S4HANA,REC-98,synthetic_generator,98,2026-09-18T22:42:29.597924,2.0,SYNTHETIC
MAT-0099,CPSE_04,CAN-019,MAT-50479,PIPE HDPE API 5L GR B DN100 SCH80,MTR,SAP_S4HANA,REC-99,synthetic_generator,99,2026-09-18T22:42:29.598104,2.0,SYNTHETIC
MAT-0100,CPSE_04,CAN-019,MAT-34284,PIPE HDPE API 5L GR B DN100,m,SAP_S4HANA,REC-100,synthetic_generator,100,2026-09-18T22:42:29.598132,2.0,SYNTHETIC
MAT-0101,CPSE_02,CAN-019,MAT-17615,PIPE HDPE API 5L GR B DN100,MTR,SAP_ECC,REC-101,synthetic_generator,101,2026-09-18T22:42:29.598153,2.0,SYNTHETIC
MAT-0102,CPSE_04,CAN-019,MAT-44871,PIPE HDPE API 5L GR B DN100 SCH80,MTR,SAP_ECC,REC-102,synthetic_generator,102,2026-09-18T22:42:29.598173,2.0,SYNTHETIC
MAT-CF-0022,CPSE_04,CAN-019_VARIANT,MAT-93036,PIPE HDPE API 5L GR B DN150 SCH80,MTR,SAP_ECC,REC-CF-22,synthetic_generator,102,2026-09-18T22:42:29.598202,2.0,SYNTHETIC_MUTATION
MAT-0103,CPSE_01,CAN-020,MAT-14457,PIPE HDPE API 5L GR B DN50 SCH10S,m,SAP_ECC,REC-103,synthetic_generator,103,2026-09-18T22:42:29.598374,2.0,SYNTHETIC
