material_id,cpse_id,canonical_id,material_code,description,material_type,material_group,base_uom,manufacturer,manufacturer_part_number,source_system,source_table
MAT-0055,CPSE_05,CAN-019,ITM-5204,Galvanized Steel DN50 Grade B SCH40,ERSA,MG-PIPE,Meter,Manufacturer_B,PN-218,SAP_ECC,MARA
MAT-0056,CPSE_01,CAN-019,VAL-6018,GALVANIZED STEEL 50 MM GRADE B SCH40,ERSA,MG-PIPE,M,Manufacturer_A,PN-883,SAP_S4HANA,MARA
MAT-0057,CPSE_02,CAN-019,MAT-1964,"galvanized 2"" steel grade b sch40",ERSA,MG-PIPE,MTR,Manufacturer_A,PN-895,SAP_ECC,MARA
MAT-0058,CPSE_01,CAN-020,VAL-7766,PVC DN110 PVC-U PN16,ERSA,MG-PIPE,MTR,Manufacturer_B,PN-228,SAP_S4HANA,MARA
MAT-0059,CPSE_04,CAN-020,P-3325,PVC DN110 PVC-U PN16,ERSA,MG-PIPE,M,Manufacturer_A,PN-659,SAP_ECC,MARA
MAT-0060,CPSE_05,CAN-020,ITM-2418,pvc pvc-u dn110 pn16,ERSA,MG-PIPE,M,Manufacturer_C,PN-227,ERP_GENERIC,MARA
MAT-0061,CPSE_03,CAN-021,GV-2430,Hex Head M12 Carbon Steel 8.8 Coarse,ERSA,MG-BOLT,PCS,Manufacturer_B,PN-246,SAP_ECC,MARA
MAT-0062,CPSE_01,CAN-021,VAL-4652,HEX HEAD M12 CS 8.8 COARSE,ERSA,MG-BOLT,NOS,Manufacturer_C,PN-423,ERP_GENERIC,MARA
MAT-0063,CPSE_02,CAN-021,MAT-4246,hex m12 head c.s. 8.8 coarse,ERSA,MG-BOLT,EA,Manufacturer_B,PN-258,SAP_ECC,MARA
MAT-0064,CPSE_01,CAN-022,VAL-2179,Hex Head M12 Carbon Steel 8.8 Fine,ERSA,MG-BOLT,EA,Manufacturer_A,PN-944,SAP_ECC,MARA
MAT-0065,CPSE_05,CAN-022,ITM-4930,HEX HEAD M12 CS 8.8 FINE,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-829,SAP_ECC,MARA
MAT-0066,CPSE_03,CAN-022,GV-9342,hex m12 head c.s. 8.8 fine,ERSA,MG-BOLT,EA,Manufacturer_B,PN-227,SAP_S4HANA,MARA
MAT-0067,CPSE_05,CAN-023,ITM-8886,Hex Head M20 Carbon Steel 8.8 Coarse,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-599,SAP_ECC,MARA
MAT-0068,CPSE_03,CAN-023,GV-7182,HEX HEAD M20 CS 8.8 COARSE,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-586,SAP_ECC,MARA
MAT-0069,CPSE_04,CAN-023,P-7836,hex m20 head c.s. 8.8 coarse,ERSA,MG-BOLT,EA,Manufacturer_C,PN-541,SAP_ECC,MARA
MAT-0070,CPSE_05,CAN-024,ITM-3588,Hex Head M20 Carbon Steel 10.9 Coarse,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-827,SAP_ECC,MARA
MAT-0071,CPSE_03,CAN-024,GV-7036,HEX HEAD M20 CS 10.9 COARSE,ERSA,MG-BOLT,EA,Manufacturer_C,PN-235,SAP_S4HANA,MARA
MAT-0072,CPSE_04,CAN-024,P-8059,hex m20 head c.s. 10.9 coarse,ERSA,MG-BOLT,EA,Manufacturer_C,PN-141,SAP_ECC,MARA
MAT-0073,CPSE_04,CAN-025,P-8347,Stud Bolt 1/2 inch Alloy Steel B7 UNC,ERSA,MG-BOLT,NOS,Manufacturer_C,PN-414,SAP_ECC,MARA
MAT-0074,CPSE_03,CAN-025,GV-7732,STUD BOLT 1/2 INCH ALLOY STEEL B7 UNC,ERSA,MG-BOLT,NOS,Manufacturer_B,PN-897,SAP_ECC,MARA
MAT-0075,CPSE_02,CAN-025,MAT-1004,stud 1/2 bolt inch alloy steel b7 unc,ERSA,MG-BOLT,EA,Manufacturer_C,PN-806,SAP_S4HANA,MARA
MAT-0076,CPSE_04,CAN-026,P-2591,Stud Bolt 1/2 inch Stainless Steel B8 UNC,ERSA,MG-BOLT,NOS,Manufacturer_C,PN-353,ERP_GENERIC,MARA
MAT-0077,CPSE_01,CAN-026,VAL-3717,STUD BOLT 1/2 INCH SS B8 UNC,ERSA,MG-BOLT,PCS,Manufacturer_C,PN-153,SAP_ECC,MARA
MAT-0078,CPSE_02,CAN-026,MAT-5346,stud 1/2 bolt inch s.s. b8 unc,ERSA,MG-BOLT,EA,Manufacturer_B,PN-416,SAP_ECC,MARA
MAT-0079,CPSE_04,CAN-027,P-7374,Anchor Bolt M24 Carbon Steel 4.6 Coarse,ERSA,MG-BOLT,PCS,Manufacturer_A,PN-159,ERP_GENERIC,MARA
MAT-0080,CPSE_05,CAN-027,ITM-3321,ANCHOR BOLT M24 CS 4.6 COARSE,ERSA,MG-BOLT,EA,Manufacturer_B,PN-254,SAP_S4HANA,MARA
MAT-0081,CPSE_03,CAN-027,GV-9296,anchor m24 bolt c.s. 4.6 coarse,ERSA,MG-BOLT,PCS,Manufacturer_A,PN-124,SAP_S4HANA,MARA
MAT-0082,CPSE_02,CAN-028,MAT-5460,Hex Head M10 Stainless Steel A2-70 Coarse,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-442,SAP_ECC,MARA
MAT-0083,CPSE_01,CAN-028,VAL-6215,HEX HEAD M10 SS A2-70 COARSE,ERSA,MG-BOLT,PCS,Manufacturer_C,PN-137,SAP_S4HANA,MARA
MAT-0084,CPSE_03,CAN-028,GV-7303,hex m10 head s.s. a2-70 coarse,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-689,SAP_ECC,MARA
MAT-0085,CPSE_04,CAN-029,P-6254,U-Bolt M12 Galvanized Steel 4.8 Coarse,ERSA,MG-BOLT,EA,Manufacturer_A,PN-658,SAP_S4HANA,MARA
MAT-0086,CPSE_05,CAN-029,ITM-7848,U-BOLT M12 GALVANIZED STEEL 4.8 COARSE,ERSA,MG-BOLT,NOS,Manufacturer_B,PN-595,SAP_S4HANA,MARA
MAT-0087,CPSE_02,CAN-029,MAT-5134,u-bolt galvanized m12 steel 4.8 coarse,ERSA,MG-BOLT,EA,Manufacturer_C,PN-432,SAP_ECC,MARA
MAT-0088,CPSE_02,CAN-030,MAT-4045,Socket Head Cap M16 Alloy Steel 12.9 Coarse,ERSA,MG-BOLT,NOS,Manufacturer_A,PN-581,SAP_ECC,MARA
MAT-0089,CPSE_04,CAN-030,P-2515,SOCKET HEAD CAP M16 ALLOY STEEL 12.9 COARSE,ERSA,MG-BOLT,EA,Manufacturer_A,PN-229,SAP_ECC,MARA
MAT-0090,CPSE_03,CAN-030,GV-4244,socket cap head m16 alloy steel 12.9 coarse,ERSA,MG-BOLT,PCS,Manufacturer_C,PN-953,ERP_GENERIC,MARA
MAT-0091,CPSE_03,CAN-031,GV-3625,Power Cable 2.5 sq.mm 4 Core Copper 1.1 kV,ERSA,MG-CABLE,Meter,Manufacturer_B,PN-368,SAP_ECC,MARA
MAT-0092,CPSE_05,CAN-031,ITM-8230,POWER CABLE 2.5 MM2 4 CORE CU 1.1 KV,ERSA,MG-CABLE,MTR,Manufacturer_C,PN-273,SAP_S4HANA,MARA
MAT-0093,CPSE_02,CAN-031,MAT-6604,power 2.5 cable sqmm 4 core cu 1.1 kv,ERSA,MG-CABLE,M,Manufacturer_C,PN-413,SAP_S4HANA,MARA
MAT-0094,CPSE_01,CAN-032,VAL-8685,Power Cable 2.5 sq.mm 4 Core Copper 3.3 kV,ERSA,MG-CABLE,M,Manufacturer_B,PN-289,ERP_GENERIC,MARA
MAT-0095,CPSE_02,CAN-032,MAT-3918,POWER CABLE 2.5 MM2 4 CORE CU 3.3 KV,ERSA,MG-CABLE,M,Manufacturer_A,PN-749,ERP_GENERIC,MARA
MAT-0096,CPSE_04,CAN-032,P-3382,power 2.5 cable sqmm 4 core cu 3.3 kv,ERSA,MG-CABLE,Meter,Manufacturer_B,PN-466,ERP_GENERIC,MARA
MAT-0097,CPSE_01,CAN-033,VAL-1743,Control Cable 1.5 sq.mm 12 Core Copper 1.1 kV,ERSA,MG-CABLE,M,Manufacturer_C,PN-266,SAP_ECC,MARA
MAT-0098,CPSE_02,CAN-033,MAT-7212,CONTROL CABLE 1.5 MM2 12 CORE CU 1.1 KV,ERSA,MG-CABLE,MTR,Manufacturer_C,PN-587,SAP_ECC,MARA
MAT-0099,CPSE_05,CAN-033,ITM-6332,control 1.5 cable sqmm 12 core cu 1.1 kv,ERSA,MG-CABLE,M,Manufacturer_A,PN-889,ERP_GENERIC,MARA
MAT-0100,CPSE_03,CAN-034,GV-6271,Control Cable 2.5 sq.mm 12 Core Copper 1.1 kV,ERSA,MG-CABLE,M,Manufacturer_A,PN-572,SAP_S4HANA,MARA
MAT-0101,CPSE_02,CAN-034,MAT-3111,CONTROL CABLE 2.5 MM2 12 CORE CU 1.1 KV,ERSA,MG-CABLE,M,Manufacturer_B,PN-195,SAP_ECC,MARA
MAT-0102,CPSE_01,CAN-034,VAL-3175,control 2.5 cable sqmm 12 core cu 1.1 kv,ERSA,MG-CABLE,M,Manufacturer_C,PN-390,ERP_GENERIC,MARA
MAT-0103,CPSE_01,CAN-035,VAL-5330,Power Cable 240 sq.mm 3 Core Aluminium 11 kV,ERSA,MG-CABLE,M,Manufacturer_C,PN-867,SAP_ECC,MARA
MAT-0104,CPSE_03,CAN-035,GV-8428,POWER CABLE 240 MM2 3 CORE AL 11 KV,ERSA,MG-CABLE,M,Manufacturer_B,PN-115,ERP_GENERIC,MARA
MAT-0105,CPSE_05,CAN-035,ITM-6023,power 240 cable sqmm 3 core al 11 kv,ERSA,MG-CABLE,MTR,Manufacturer_B,PN-943,SAP_ECC,MARA
MAT-0106,CPSE_03,CAN-036,GV-6006,Power Cable 240 sq.mm 3.5 Core Aluminium 11 kV,ERSA,MG-CABLE,MTR,Manufacturer_C,PN-707,ERP_GENERIC,MARA
MAT-0107,CPSE_05,CAN-036,ITM-9100,POWER CABLE 240 MM2 3.5 CORE AL 11 KV,ERSA,MG-CABLE,M,Manufacturer_B,PN-839,ERP_GENERIC,MARA
MAT-0108,CPSE_01,CAN-036,VAL-2004,power 240 cable sqmm 3.5 core al 11 kv,ERSA,MG-CABLE,MTR,Manufacturer_B,PN-381,ERP_GENERIC,MARA
MAT-0109,CPSE_05,CAN-037,ITM-7131,Instrumentation Cable 1.0 sq.mm 10 Pair Copper 500 V,ERSA,MG-CABLE,MTR,Manufacturer_C,PN-151,ERP_GENERIC,MARA
MAT-0110,CPSE_01,CAN-037,VAL-7618,INSTRUMENTATION CABLE 1.0 MM2 10 PAIR CU 500 V,ERSA,MG-CABLE,M,Manufacturer_A,PN-663,SAP_S4HANA,MARA
MAT-0111,CPSE_03,CAN-037,GV-4301,instrumentation 1.0 cable sqmm 10 pair cu 500 v,ERSA,MG-CABLE,Meter,Manufacturer_A,PN-517,SAP_ECC,MARA
MAT-0112,CPSE_05,CAN-038,ITM-7502,Data Cable AWG 23 4 Pair Copper Low Voltage,ERSA,MG-CABLE,MTR,Manufacturer_C,PN-981,SAP_ECC,MARA
MAT-0113,CPSE_03,CAN-038,GV-2421,DATA CABLE AWG 23 4 PAIR CU LOW VOLTAGE,ERSA,MG-CABLE,M,Manufacturer_B,PN-702,ERP_GENERIC,MARA
MAT-0114,CPSE_02,CAN-038,MAT-5535,data awg cable 23 4 pair cu low voltage,ERSA,MG-CABLE,Meter,Manufacturer_A,PN-614,SAP_S4HANA,MARA
MAT-0115,CPSE_03,CAN-039,GV-4423,Power Cable 630 sq.mm 1 Core Copper 33 kV,ERSA,MG-CABLE,Meter,Manufacturer_C,PN-253,SAP_S4HANA,MARA
MAT-0116,CPSE_05,CAN-039,ITM-9208,POWER CABLE 630 MM2 1 CORE CU 33 KV,ERSA,MG-CABLE,M,Manufacturer_C,PN-267,ERP_GENERIC,MARA
MAT-0117,CPSE_02,CAN-039,MAT-6908,power 630 cable sqmm 1 core cu 33 kv,ERSA,MG-CABLE,M,Manufacturer_A,PN-786,ERP_GENERIC,MARA
MAT-0118,CPSE_05,CAN-040,ITM-4220,Flexible Cable 4.0 sq.mm 5 Core Copper 450/750 V,ERSA,MG-CABLE,M,Manufacturer_B,PN-980,SAP_ECC,MARA
MAT-0119,CPSE_02,CAN-040,MAT-4924,FLEXIBLE CABLE 4.0 MM2 5 CORE CU 450/750 V,ERSA,MG-CABLE,Meter,Manufacturer_A,PN-969,SAP_S4HANA,MARA
MAT-0120,CPSE_01,CAN-040,VAL-3312,flexible 4.0 cable sqmm 5 core cu 450/750 v,ERSA,MG-CABLE,Meter,Manufacturer_A,PN-757,ERP_GENERIC,MARA
