cpse_id,material_id,vendor_id,vendor_material_no,price,currency
CPSE_01,MAT-0050,VND-126,PN-408,424.21,INR
CPSE_02,MAT-0051,VND-184,PN-105,4627.11,INR
CPSE_05,MAT-0052,VND-178,PN-264,4696.5,INR
CPSE_03,MAT-0053,VND-145,PN-855,3251.36,INR
CPSE_04,MAT-0054,VND-161,PN-408,3929.49,INR
CPSE_05,MAT-0055,VND-170,PN-218,1247.64,INR
CPSE_01,MAT-0056,VND-196,PN-883,2273.13,INR
CPSE_02,MAT-0057,VND-162,PN-895,2863.26,INR
CPSE_01,MAT-0058,VND-125,PN-228,4438.19,INR
CPSE_04,MAT-0059,VND-187,PN-659,3772.11,INR
CPSE_05,MAT-0060,VND-120,PN-227,158.45,INR
CPSE_03,MAT-0061,VND-122,PN-246,2332.42,INR
CPSE_01,MAT-0062,VND-199,PN-423,3197.45,INR
CPSE_02,MAT-0063,VND-159,PN-258,1749.44,INR
CPSE_01,MAT-0064,VND-115,PN-944,1931.37,INR
CPSE_05,MAT-0065,VND-170,PN-829,4953.29,INR
CPSE_03,MAT-0066,VND-154,PN-227,2056.3,INR
CPSE_05,MAT-0067,VND-196,PN-599,3376.18,INR
CPSE_03,MAT-0068,VND-121,PN-586,4850.58,INR
CPSE_04,MAT-0069,VND-181,PN-541,1067.86,INR
CPSE_05,MAT-0070,VND-153,PN-827,4115.17,INR
CPSE_03,MAT-0071,VND-189,PN-235,2371.93,INR
CPSE_04,MAT-0072,VND-182,PN-141,1972.38,INR
CPSE_04,MAT-0073,VND-149,PN-414,1495.88,INR
CPSE_03,MAT-0074,VND-177,PN-897,2445.87,INR
CPSE_02,MAT-0075,VND-161,PN-806,3076.6,INR
CPSE_04,MAT-0076,VND-125,PN-353,559.84,INR
CPSE_01,MAT-0077,VND-127,PN-153,4108.13,INR
CPSE_02,MAT-0078,VND-110,PN-416,3849.92,INR
CPSE_04,MAT-0079,VND-111,PN-159,1778.41,INR
CPSE_05,MAT-0080,VND-169,PN-254,2825.07,INR
CPSE_03,MAT-0081,VND-182,PN-124,3308.7,INR
CPSE_02,MAT-0082,VND-155,PN-442,2057.97,INR
CPSE_01,MAT-0083,VND-168,PN-137,4606.73,INR
CPSE_03,MAT-0084,VND-169,PN-689,87.35,INR
CPSE_04,MAT-0085,VND-171,PN-658,691.41,INR
CPSE_05,MAT-0086,VND-163,PN-595,4043.31,INR
CPSE_02,MAT-0087,VND-175,PN-432,3064.73,INR
CPSE_02,MAT-0088,VND-115,PN-581,620.36,INR
CPSE_04,MAT-0089,VND-104,PN-229,1597.04,INR
CPSE_03,MAT-0090,VND-122,PN-953,1200.26,INR
CPSE_03,MAT-0091,VND-185,PN-368,1671.17,INR
CPSE_05,MAT-0092,VND-112,PN-273,348.07,INR
CPSE_02,MAT-0093,VND-176,PN-413,3079.15,INR
CPSE_01,MAT-0094,VND-109,PN-289,1701.92,INR
CPSE_02,MAT-0095,VND-102,PN-749,713.9,INR
CPSE_04,MAT-0096,VND-155,PN-466,3016.12,INR
CPSE_01,MAT-0097,VND-119,PN-266,206.88,INR
CPSE_02,MAT-0098,VND-116,PN-587,4518.84,INR
CPSE_05,MAT-0099,VND-111,PN-889,843.18,INR
CPSE_03,MAT-0100,VND-141,PN-572,3359.55,INR
CPSE_02,MAT-0101,VND-144,PN-195,807.61,INR
CPSE_01,MAT-0102,VND-193,PN-390,1695.3,INR
CPSE_01,MAT-0103,VND-154,PN-867,3672.8,INR
CPSE_03,MAT-0104,VND-144,PN-115,2979.53,INR
CPSE_05,MAT-0105,VND-114,PN-943,96.1,INR
CPSE_03,MAT-0106,VND-151,PN-707,1685.68,INR
CPSE_05,MAT-0107,VND-134,PN-839,872.8,INR
CPSE_01,MAT-0108,VND-160,PN-381,3322.72,INR
CPSE_05,MAT-0109,VND-169,PN-151,3875.77,INR
CPSE_01,MAT-0110,VND-124,PN-663,3846.85,INR
CPSE_03,MAT-0111,VND-141,PN-517,4136.77,INR
CPSE_05,MAT-0112,VND-149,PN-981,916.98,INR
CPSE_03,MAT-0113,VND-182,PN-702,2265.11,INR
CPSE_02,MAT-0114,VND-179,PN-614,4560.67,INR
CPSE_03,MAT-0115,VND-123,PN-253,1635.41,INR
CPSE_05,MAT-0116,VND-103,PN-267,4950.37,INR
CPSE_02,MAT-0117,VND-109,PN-786,1644.24,INR
CPSE_05,MAT-0118,VND-102,PN-980,3569.5,INR
CPSE_02,MAT-0119,VND-175,PN-969,4521.22,INR
CPSE_01,MAT-0120,VND-116,PN-757,3090.02,INR
