cpse_id,material_id,plant,storage_location,stock_type,stock_qty,stock_uom
CPSE_02,MAT-0051,PL-68,SL-1001,Unrestricted,45,M
CPSE_05,MAT-0052,PL-86,SL-1004,Unrestricted,237,M
CPSE_03,MAT-0053,PL-48,SL-1001,Unrestricted,424,Meter
CPSE_04,MAT-0054,PL-95,SL-1003,Unrestricted,165,M
CPSE_05,MAT-0055,PL-52,SL-1001,Unrestricted,390,Meter
CPSE_01,MAT-0056,PL-13,SL-1003,Unrestricted,367,M
CPSE_02,MAT-0057,PL-17,SL-1003,Unrestricted,7,MTR
CPSE_01,MAT-0058,PL-59,SL-1005,Unrestricted,273,MTR
CPSE_04,MAT-0059,PL-68,SL-1004,Unrestricted,182,M
CPSE_05,MAT-0060,PL-27,SL-1003,Unrestricted,319,M
CPSE_03,MAT-0061,PL-99,SL-1001,Unrestricted,249,PCS
CPSE_01,MAT-0062,PL-86,SL-1005,Unrestricted,120,NOS
CPSE_02,MAT-0063,PL-89,SL-1003,Unrestricted,420,EA
CPSE_01,MAT-0064,PL-67,SL-1001,Unrestricted,355,EA
CPSE_05,MAT-0065,PL-47,SL-1000,Unrestricted,209,NOS
CPSE_03,MAT-0066,PL-85,SL-1005,Unrestricted,328,EA
CPSE_05,MAT-0067,PL-95,SL-1004,Unrestricted,50,NOS
CPSE_03,MAT-0068,PL-53,SL-1003,Unrestricted,430,NOS
CPSE_04,MAT-0069,PL-10,SL-1002,Unrestricted,289,EA
CPSE_05,MAT-0070,PL-19,SL-1003,Unrestricted,367,NOS
CPSE_03,MAT-0071,PL-83,SL-1003,Unrestricted,428,EA
CPSE_04,MAT-0072,PL-45,SL-1004,Unrestricted,52,EA
CPSE_04,MAT-0073,PL-72,SL-1000,Unrestricted,203,NOS
CPSE_03,MAT-0074,PL-26,SL-1001,Unrestricted,258,NOS
CPSE_02,MAT-0075,PL-16,SL-1005,Unrestricted,17,EA
CPSE_04,MAT-0076,PL-27,SL-1004,Unrestricted,422,NOS
CPSE_01,MAT-0077,PL-67,SL-1005,Unrestricted,400,PCS
CPSE_02,MAT-0078,PL-98,SL-1003,Unrestricted,94,EA
CPSE_04,MAT-0079,PL-37,SL-1003,Unrestricted,136,PCS
CPSE_05,MAT-0080,PL-32,SL-1002,Unrestricted,209,EA
CPSE_03,MAT-0081,PL-99,SL-1001,Unrestricted,174,PCS
CPSE_02,MAT-0082,PL-67,SL-1001,Unrestricted,73,NOS
CPSE_01,MAT-0083,PL-65,SL-1003,Unrestricted,495,PCS
CPSE_03,MAT-0084,PL-51,SL-1001,Unrestricted,300,NOS
CPSE_04,MAT-0085,PL-70,SL-1005,Unrestricted,400,EA
CPSE_05,MAT-0086,PL-31,SL-1005,Unrestricted,7,NOS
CPSE_02,MAT-0087,PL-30,SL-1000,Unrestricted,126,EA
CPSE_02,MAT-0088,PL-62,SL-1000,Unrestricted,352,NOS
CPSE_04,MAT-0089,PL-29,SL-1004,Unrestricted,300,EA
CPSE_03,MAT-0090,PL-28,SL-1001,Unrestricted,462,PCS
CPSE_03,MAT-0091,PL-58,SL-1005,Unrestricted,125,Meter
CPSE_05,MAT-0092,PL-75,SL-1002,Unrestricted,127,MTR
CPSE_02,MAT-0093,PL-69,SL-1000,Unrestricted,349,M
CPSE_01,MAT-0094,PL-99,SL-1002,Unrestricted,40,M
CPSE_02,MAT-0095,PL-11,SL-1001,Unrestricted,48,M
CPSE_04,MAT-0096,PL-63,SL-1001,Unrestricted,83,Meter
CPSE_01,MAT-0097,PL-52,SL-1002,Unrestricted,443,M
CPSE_02,MAT-0098,PL-25,SL-1004,Unrestricted,59,MTR
CPSE_05,MAT-0099,PL-48,SL-1000,Unrestricted,206,M
CPSE_03,MAT-0100,PL-22,SL-1005,Unrestricted,326,M
CPSE_02,MAT-0101,PL-48,SL-1002,Unrestricted,179,M
CPSE_01,MAT-0102,PL-51,SL-1005,Unrestricted,90,M
CPSE_01,MAT-0103,PL-84,SL-1001,Unrestricted,125,M
CPSE_03,MAT-0104,PL-79,SL-1002,Unrestricted,417,M
CPSE_05,MAT-0105,PL-84,SL-1001,Unrestricted,261,MTR
CPSE_03,MAT-0106,PL-35,SL-1002,Unrestricted,271,MTR
CPSE_05,MAT-0107,PL-93,SL-1000,Unrestricted,142,M
CPSE_01,MAT-0108,PL-59,SL-1004,Unrestricted,148,MTR
CPSE_05,MAT-0109,PL-46,SL-1000,Unrestricted,61,MTR
CPSE_01,MAT-0110,PL-98,SL-1001,Unrestricted,153,M
CPSE_03,MAT-0111,PL-22,SL-1000,Unrestricted,161,Meter
CPSE_05,MAT-0112,PL-62,SL-1000,Unrestricted,364,MTR
CPSE_03,MAT-0113,PL-85,SL-1000,Unrestricted,394,M
CPSE_02,MAT-0114,PL-31,SL-1004,Unrestricted,160,Meter
CPSE_03,MAT-0115,PL-19,SL-1003,Unrestricted,107,Meter
CPSE_05,MAT-0116,PL-85,SL-1003,Unrestricted,124,M
CPSE_02,MAT-0117,PL-96,SL-1001,Unrestricted,253,M
CPSE_05,MAT-0118,PL-55,SL-1000,Unrestricted,302,M
CPSE_02,MAT-0119,PL-72,SL-1001,Unrestricted,124,Meter
CPSE_01,MAT-0120,PL-98,SL-1000,Unrestricted,327,Meter
