material_id,class,characteristic_name,characteristic_value,characteristic_uom
MAT-0013,Valve,BODY_MATERIAL,Brass,
MAT-0013,Valve,PRESSURE_CLASS,PN16,
MAT-0013,Valve,NOMINAL_SIZE,DN25,
MAT-0013,Valve,END_CONNECTION,Threaded,
MAT-0013,Valve,STANDARD,ISO 7,
MAT-0014,Valve,TYPE,Ball Valve,
MAT-0014,Valve,BODY_MATERIAL,Brass,
MAT-0014,Valve,PRESSURE_CLASS,PN16,
MAT-0014,Valve,NOMINAL_SIZE,DN25,
MAT-0014,Valve,END_CONNECTION,Threaded,
MAT-0014,Valve,STANDARD,ISO 7,
MAT-0015,Valve,TYPE,Ball Valve,
MAT-0015,Valve,BODY_MATERIAL,Brass,
MAT-0015,Valve,NOMINAL_SIZE,DN25,
MAT-0015,Valve,END_CONNECTION,Threaded,
MAT-0015,Valve,STANDARD,ISO 7,
MAT-0016,Valve,TYPE,Butterfly Valve,
MAT-0016,Valve,BODY_MATERIAL,Cast Iron,
MAT-0016,Valve,PRESSURE_CLASS,PN10,
MAT-0016,Valve,NOMINAL_SIZE,DN150,
MAT-0016,Valve,END_CONNECTION,Wafer,
MAT-0016,Valve,STANDARD,API 609,
MAT-0017,Valve,TYPE,Butterfly Valve,
MAT-0017,Valve,BODY_MATERIAL,Cast Iron,
MAT-0017,Valve,PRESSURE_CLASS,PN10,
MAT-0017,Valve,NOMINAL_SIZE,DN150,
MAT-0017,Valve,END_CONNECTION,Wafer,
MAT-0017,Valve,STANDARD,API 609,
MAT-0018,Valve,TYPE,Butterfly Valve,
MAT-0018,Valve,BODY_MATERIAL,Cast Iron,
MAT-0018,Valve,PRESSURE_CLASS,PN10,
MAT-0018,Valve,NOMINAL_SIZE,DN150,
MAT-0018,Valve,END_CONNECTION,Wafer,
MAT-0018,Valve,STANDARD,API 609,
MAT-0019,Valve,TYPE,Check Valve,
MAT-0019,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0019,Valve,PRESSURE_CLASS,Class 600,
MAT-0019,Valve,NOMINAL_SIZE,DN100,
MAT-0019,Valve,END_CONNECTION,Flanged,
MAT-0019,Valve,STANDARD,API 594,
MAT-0020,Valve,TYPE,Check Valve,
MAT-0020,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0020,Valve,PRESSURE_CLASS,Class 600,
MAT-0020,Valve,NOMINAL_SIZE,DN100,
MAT-0020,Valve,END_CONNECTION,Flanged,
MAT-0020,Valve,STANDARD,API 594,
MAT-0021,Valve,TYPE,Check Valve,
MAT-0021,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0021,Valve,NOMINAL_SIZE,DN100,
MAT-0021,Valve,END_CONNECTION,Flanged,
MAT-0021,Valve,STANDARD,API 594,
MAT-0022,Valve,TYPE,Ball Valve,
MAT-0022,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0022,Valve,PRESSURE_CLASS,Class 150,
MAT-0022,Valve,NOMINAL_SIZE,DN50,
MAT-0022,Valve,END_CONNECTION,Flanged,
MAT-0022,Valve,STANDARD,API 6D,
MAT-0023,Valve,TYPE,Ball Valve,
MAT-0023,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0023,Valve,PRESSURE_CLASS,Class 150,
MAT-0023,Valve,NOMINAL_SIZE,DN50,
MAT-0023,Valve,END_CONNECTION,Flanged,
MAT-0023,Valve,STANDARD,API 6D,
MAT-0024,Valve,TYPE,Ball Valve,
MAT-0024,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0024,Valve,PRESSURE_CLASS,Class 150,
MAT-0024,Valve,NOMINAL_SIZE,DN50,
MAT-0024,Valve,END_CONNECTION,Flanged,
MAT-0024,Valve,STANDARD,API 6D,
MAT-0025,Valve,TYPE,Gate Valve,
MAT-0025,Valve,BODY_MATERIAL,Alloy Steel,
MAT-0025,Valve,PRESSURE_CLASS,Class 900,
MAT-0025,Valve,NOMINAL_SIZE,DN200,
MAT-0025,Valve,END_CONNECTION,Butt Weld,
MAT-0025,Valve,STANDARD,ASME B16.34,
MAT-0026,Valve,TYPE,Gate Valve,
MAT-0026,Valve,BODY_MATERIAL,Alloy Steel,
MAT-0026,Valve,PRESSURE_CLASS,Class 900,
MAT-0026,Valve,NOMINAL_SIZE,DN200,
MAT-0026,Valve,END_CONNECTION,Butt Weld,
MAT-0026,Valve,STANDARD,ASME B16.34,
MAT-0027,Valve,TYPE,Gate Valve,
MAT-0027,Valve,BODY_MATERIAL,Alloy Steel,
MAT-0027,Valve,PRESSURE_CLASS,Class 900,
MAT-0027,Valve,NOMINAL_SIZE,DN200,
MAT-0027,Valve,END_CONNECTION,Butt Weld,
MAT-0027,Valve,STANDARD,ASME B16.34,
MAT-0028,Valve,TYPE,Globe Valve,
MAT-0028,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0028,Valve,PRESSURE_CLASS,Class 300,
MAT-0028,Valve,NOMINAL_SIZE,DN100,
MAT-0028,Valve,END_CONNECTION,Flanged,
MAT-0028,Valve,STANDARD,ASME B16.34,
MAT-0029,Valve,TYPE,Globe Valve,
MAT-0029,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0029,Valve,PRESSURE_CLASS,Class 300,
MAT-0029,Valve,NOMINAL_SIZE,DN100,
MAT-0029,Valve,END_CONNECTION,Flanged,
MAT-0029,Valve,STANDARD,ASME B16.34,
MAT-0030,Valve,TYPE,Globe Valve,
MAT-0030,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0030,Valve,PRESSURE_CLASS,Class 300,
MAT-0030,Valve,NOMINAL_SIZE,DN100,
MAT-0030,Valve,END_CONNECTION,Flanged,
MAT-0030,Valve,STANDARD,ASME B16.34,
MAT-0031,Pipe,STANDARD,API 5L,
MAT-0031,Pipe,MATERIAL,Carbon Steel,
MAT-0031,Pipe,GRADE,API 5L Gr B,
MAT-0031,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0031,Pipe,SCHEDULE,SCH40,
MAT-0031,Pipe,LENGTH,6m,
MAT-0032,Pipe,STANDARD,API 5L,
MAT-0032,Pipe,MATERIAL,Carbon Steel,
MAT-0032,Pipe,GRADE,API 5L Gr B,
MAT-0032,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0032,Pipe,SCHEDULE,SCH40,
MAT-0032,Pipe,LENGTH,6m,
MAT-0033,Pipe,STANDARD,API 5L,
MAT-0033,Pipe,MATERIAL,Carbon Steel,
MAT-0033,Pipe,GRADE,API 5L Gr B,
MAT-0033,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0033,Pipe,LENGTH,6m,
MAT-0034,Pipe,STANDARD,API 5L,
MAT-0034,Pipe,MATERIAL,Carbon Steel,
MAT-0034,Pipe,GRADE,API 5L Gr B,
MAT-0034,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0034,Pipe,SCHEDULE,SCH80,
MAT-0034,Pipe,LENGTH,6m,
MAT-0035,Pipe,STANDARD,API 5L,
MAT-0035,Pipe,MATERIAL,Carbon Steel,
MAT-0035,Pipe,GRADE,API 5L Gr B,
MAT-0035,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0035,Pipe,SCHEDULE,SCH80,
MAT-0035,Pipe,LENGTH,6m,
MAT-0036,Pipe,STANDARD,API 5L,
MAT-0036,Pipe,MATERIAL,Carbon Steel,
MAT-0036,Pipe,GRADE,API 5L Gr B,
MAT-0036,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0036,Pipe,LENGTH,6m,
MAT-0037,Pipe,STANDARD,ASTM A312,
MAT-0037,Pipe,MATERIAL,Stainless Steel,
MAT-0037,Pipe,GRADE,TP304,
MAT-0037,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0037,Pipe,SCHEDULE,SCH10S,
MAT-0037,Pipe,LENGTH,6m,
MAT-0038,Pipe,STANDARD,ASTM A312,
MAT-0038,Pipe,MATERIAL,Stainless Steel,
MAT-0038,Pipe,GRADE,TP304,
MAT-0038,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0038,Pipe,SCHEDULE,SCH10S,
MAT-0038,Pipe,LENGTH,6m,
MAT-0039,Pipe,STANDARD,ASTM A312,
MAT-0039,Pipe,MATERIAL,Stainless Steel,
MAT-0039,Pipe,GRADE,TP304,
MAT-0039,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0039,Pipe,SCHEDULE,SCH10S,
MAT-0039,Pipe,LENGTH,6m,
MAT-0040,Pipe,STANDARD,ASTM A312,
MAT-0040,Pipe,MATERIAL,Stainless Steel,
MAT-0040,Pipe,GRADE,TP316L,
MAT-0040,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0040,Pipe,SCHEDULE,SCH10S,
MAT-0040,Pipe,LENGTH,6m,
MAT-0041,Pipe,STANDARD,ASTM A312,
MAT-0041,Pipe,MATERIAL,Stainless Steel,
MAT-0041,Pipe,GRADE,TP316L,
MAT-0041,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0041,Pipe,SCHEDULE,SCH10S,
MAT-0041,Pipe,LENGTH,6m,
MAT-0042,Pipe,STANDARD,ASTM A312,
MAT-0042,Pipe,MATERIAL,Stainless Steel,
MAT-0042,Pipe,GRADE,TP316L,
MAT-0042,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0042,Pipe,LENGTH,6m,
MAT-0043,Pipe,STANDARD,ASTM A335,
MAT-0043,Pipe,MATERIAL,Alloy Steel,
MAT-0043,Pipe,GRADE,P11,
MAT-0043,Pipe,NOMINAL_DIAMETER,DN150,
MAT-0043,Pipe,SCHEDULE,SCH160,
MAT-0043,Pipe,LENGTH,12m,
MAT-0044,Pipe,STANDARD,ASTM A335,
MAT-0044,Pipe,MATERIAL,Alloy Steel,
MAT-0044,Pipe,GRADE,P11,
MAT-0044,Pipe,NOMINAL_DIAMETER,DN150,
MAT-0044,Pipe,SCHEDULE,SCH160,
MAT-0044,Pipe,LENGTH,12m,
MAT-0045,Pipe,STANDARD,ASTM A335,
MAT-0045,Pipe,MATERIAL,Alloy Steel,
MAT-0045,Pipe,GRADE,P11,
MAT-0045,Pipe,NOMINAL_DIAMETER,DN150,
MAT-0045,Pipe,LENGTH,12m,
MAT-0046,Pipe,STANDARD,ISO 4427,
MAT-0046,Pipe,MATERIAL,HDPE,
MAT-0046,Pipe,GRADE,PE100,
MAT-0046,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0046,Pipe,SCHEDULE,SDR11,
MAT-0046,Pipe,LENGTH,12m,
MAT-0047,Pipe,STANDARD,ISO 4427,
MAT-0047,Pipe,MATERIAL,HDPE,
MAT-0047,Pipe,GRADE,PE100,
MAT-0047,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0047,Pipe,SCHEDULE,SDR11,
MAT-0047,Pipe,LENGTH,12m,
MAT-0048,Pipe,STANDARD,ISO 4427,
MAT-0048,Pipe,MATERIAL,HDPE,
MAT-0048,Pipe,GRADE,PE100,
MAT-0048,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0048,Pipe,SCHEDULE,SDR11,
MAT-0048,Pipe,LENGTH,12m,
MAT-0049,Pipe,STANDARD,ASTM A106,
MAT-0049,Pipe,MATERIAL,Carbon Steel,
MAT-0049,Pipe,GRADE,ASTM A106 Gr B,
MAT-0049,Pipe,NOMINAL_DIAMETER,DN200,
MAT-0049,Pipe,SCHEDULE,SCH40,
MAT-0049,Pipe,LENGTH,6m,
MAT-0050,Pipe,STANDARD,ASTM A106,
MAT-0050,Pipe,MATERIAL,Carbon Steel,
MAT-0050,Pipe,GRADE,ASTM A106 Gr B,
MAT-0050,Pipe,NOMINAL_DIAMETER,DN200,
MAT-0050,Pipe,SCHEDULE,SCH40,
MAT-0050,Pipe,LENGTH,6m,
MAT-0051,Pipe,STANDARD,ASTM A106,
MAT-0051,Pipe,MATERIAL,Carbon Steel,
MAT-0051,Pipe,GRADE,ASTM A106 Gr B,
MAT-0051,Pipe,NOMINAL_DIAMETER,DN200,
MAT-0051,Pipe,SCHEDULE,SCH40,
MAT-0051,Pipe,LENGTH,6m,
MAT-0052,Pipe,STANDARD,ASTM A312,
MAT-0052,Pipe,MATERIAL,Stainless Steel,
MAT-0052,Pipe,GRADE,TP316L,
MAT-0052,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0052,Pipe,SCHEDULE,SCH40S,
MAT-0052,Pipe,LENGTH,6m,
MAT-0053,Pipe,STANDARD,ASTM A312,
MAT-0053,Pipe,MATERIAL,Stainless Steel,
MAT-0053,Pipe,GRADE,TP316L,
MAT-0053,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0053,Pipe,SCHEDULE,SCH40S,
MAT-0053,Pipe,LENGTH,6m,
MAT-0054,Pipe,STANDARD,ASTM A312,
MAT-0054,Pipe,MATERIAL,Stainless Steel,
MAT-0054,Pipe,GRADE,TP316L,
MAT-0054,Pipe,NOMINAL_DIAMETER,DN100,
MAT-0054,Pipe,SCHEDULE,SCH40S,
MAT-0054,Pipe,LENGTH,6m,
MAT-0055,Pipe,STANDARD,ASTM A53,
MAT-0055,Pipe,MATERIAL,Galvanized Steel,
MAT-0055,Pipe,GRADE,Grade B,
MAT-0055,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0055,Pipe,SCHEDULE,SCH40,
MAT-0055,Pipe,LENGTH,6m,
MAT-0056,Pipe,STANDARD,ASTM A53,
MAT-0056,Pipe,MATERIAL,Galvanized Steel,
MAT-0056,Pipe,GRADE,Grade B,
MAT-0056,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0056,Pipe,SCHEDULE,SCH40,
MAT-0056,Pipe,LENGTH,6m,
MAT-0057,Pipe,STANDARD,ASTM A53,
MAT-0057,Pipe,MATERIAL,Galvanized Steel,
MAT-0057,Pipe,GRADE,Grade B,
MAT-0057,Pipe,NOMINAL_DIAMETER,DN50,
MAT-0057,Pipe,SCHEDULE,SCH40,
MAT-0057,Pipe,LENGTH,6m,
MAT-0058,Pipe,STANDARD,ISO 1452,
MAT-0058,Pipe,MATERIAL,PVC,
MAT-0058,Pipe,GRADE,PVC-U,
MAT-0058,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0058,Pipe,SCHEDULE,PN16,
MAT-0058,Pipe,LENGTH,6m,
MAT-0059,Pipe,STANDARD,ISO 1452,
MAT-0059,Pipe,MATERIAL,PVC,
MAT-0059,Pipe,GRADE,PVC-U,
MAT-0059,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0059,Pipe,SCHEDULE,PN16,
MAT-0059,Pipe,LENGTH,6m,
MAT-0060,Pipe,STANDARD,ISO 1452,
MAT-0060,Pipe,MATERIAL,PVC,
MAT-0060,Pipe,GRADE,PVC-U,
MAT-0060,Pipe,NOMINAL_DIAMETER,DN110,
MAT-0060,Pipe,SCHEDULE,PN16,
MAT-0060,Pipe,LENGTH,6m,
MAT-0061,Bolt,TYPE,Hex Head,
MAT-0061,Bolt,STANDARD,ISO 4014,
MAT-0061,Bolt,MATERIAL,Carbon Steel,
MAT-0061,Bolt,GRADE,8.8,
MAT-0061,Bolt,LENGTH,50mm,
MAT-0061,Bolt,DIAMETER,M12,
MAT-0061,Bolt,THREAD,Coarse,
MAT-0062,Bolt,TYPE,Hex Head,
MAT-0062,Bolt,STANDARD,ISO 4014,
MAT-0062,Bolt,MATERIAL,Carbon Steel,
MAT-0062,Bolt,GRADE,8.8,
MAT-0062,Bolt,LENGTH,50mm,
MAT-0062,Bolt,DIAMETER,M12,
MAT-0062,Bolt,THREAD,Coarse,
MAT-0063,Bolt,TYPE,Hex Head,
MAT-0063,Bolt,STANDARD,ISO 4014,
MAT-0063,Bolt,MATERIAL,Carbon Steel,
MAT-0063,Bolt,GRADE,8.8,
MAT-0063,Bolt,LENGTH,50mm,
MAT-0063,Bolt,DIAMETER,M12,
MAT-0063,Bolt,THREAD,Coarse,
MAT-0064,Bolt,TYPE,Hex Head,
MAT-0064,Bolt,STANDARD,ISO 4014,
MAT-0064,Bolt,MATERIAL,Carbon Steel,
MAT-0064,Bolt,GRADE,8.8,
MAT-0064,Bolt,LENGTH,50mm,
MAT-0064,Bolt,DIAMETER,M12,
MAT-0064,Bolt,THREAD,Fine,
MAT-0065,Bolt,TYPE,Hex Head,
MAT-0065,Bolt,STANDARD,ISO 4014,
MAT-0065,Bolt,MATERIAL,Carbon Steel,
MAT-0065,Bolt,GRADE,8.8,
MAT-0065,Bolt,LENGTH,50mm,
MAT-0065,Bolt,DIAMETER,M12,
MAT-0065,Bolt,THREAD,Fine,
MAT-0066,Bolt,TYPE,Hex Head,
MAT-0066,Bolt,STANDARD,ISO 4014,
MAT-0066,Bolt,MATERIAL,Carbon Steel,
MAT-0066,Bolt,GRADE,8.8,
MAT-0066,Bolt,LENGTH,50mm,
MAT-0066,Bolt,DIAMETER,M12,
MAT-0067,Bolt,TYPE,Hex Head,
MAT-0067,Bolt,STANDARD,ISO 4014,
MAT-0067,Bolt,MATERIAL,Carbon Steel,
MAT-0067,Bolt,GRADE,8.8,
MAT-0067,Bolt,LENGTH,100mm,
MAT-0067,Bolt,DIAMETER,M20,
MAT-0067,Bolt,THREAD,Coarse,
MAT-0068,Bolt,TYPE,Hex Head,
MAT-0068,Bolt,STANDARD,ISO 4014,
MAT-0068,Bolt,MATERIAL,Carbon Steel,
MAT-0068,Bolt,GRADE,8.8,
MAT-0068,Bolt,LENGTH,100mm,
MAT-0068,Bolt,DIAMETER,M20,
MAT-0068,Bolt,THREAD,Coarse,
MAT-0069,Bolt,TYPE,Hex Head,
MAT-0069,Bolt,STANDARD,ISO 4014,
MAT-0069,Bolt,MATERIAL,Carbon Steel,
MAT-0069,Bolt,GRADE,8.8,
MAT-0069,Bolt,LENGTH,100mm,
MAT-0069,Bolt,DIAMETER,M20,
MAT-0069,Bolt,THREAD,Coarse,
MAT-0070,Bolt,TYPE,Hex Head,
MAT-0070,Bolt,STANDARD,ISO 4014,
MAT-0070,Bolt,MATERIAL,Carbon Steel,
MAT-0070,Bolt,GRADE,10.9,
MAT-0070,Bolt,LENGTH,100mm,
MAT-0070,Bolt,DIAMETER,M20,
MAT-0070,Bolt,THREAD,Coarse,
MAT-0071,Bolt,TYPE,Hex Head,
MAT-0071,Bolt,STANDARD,ISO 4014,
MAT-0071,Bolt,MATERIAL,Carbon Steel,
MAT-0071,Bolt,GRADE,10.9,
MAT-0071,Bolt,LENGTH,100mm,
MAT-0071,Bolt,DIAMETER,M20,
MAT-0071,Bolt,THREAD,Coarse,
MAT-0072,Bolt,TYPE,Hex Head,
MAT-0072,Bolt,STANDARD,ISO 4014,
MAT-0072,Bolt,MATERIAL,Carbon Steel,
MAT-0072,Bolt,GRADE,10.9,
MAT-0072,Bolt,LENGTH,100mm,
MAT-0072,Bolt,DIAMETER,M20,
MAT-0072,Bolt,THREAD,Coarse,
MAT-0073,Bolt,TYPE,Stud Bolt,
MAT-0073,Bolt,STANDARD,ASTM A193,
MAT-0073,Bolt,MATERIAL,Alloy Steel,
MAT-0073,Bolt,GRADE,B7,
MAT-0073,Bolt,LENGTH,100mm,
MAT-0073,Bolt,DIAMETER,1/2 inch,
MAT-0073,Bolt,THREAD,UNC,
MAT-0074,Bolt,TYPE,Stud Bolt,
MAT-0074,Bolt,STANDARD,ASTM A193,
MAT-0074,Bolt,MATERIAL,Alloy Steel,
MAT-0074,Bolt,GRADE,B7,
MAT-0074,Bolt,LENGTH,100mm,
MAT-0074,Bolt,DIAMETER,1/2 inch,
MAT-0074,Bolt,THREAD,UNC,
MAT-0075,Bolt,TYPE,Stud Bolt,
MAT-0075,Bolt,STANDARD,ASTM A193,
MAT-0075,Bolt,MATERIAL,Alloy Steel,
MAT-0075,Bolt,GRADE,B7,
MAT-0075,Bolt,LENGTH,100mm,
MAT-0075,Bolt,DIAMETER,1/2 inch,
MAT-0075,Bolt,THREAD,UNC,
MAT-0076,Bolt,TYPE,Stud Bolt,
MAT-0076,Bolt,STANDARD,ASTM A193,
MAT-0076,Bolt,MATERIAL,Stainless Steel,
MAT-0076,Bolt,GRADE,B8,
MAT-0076,Bolt,LENGTH,100mm,
MAT-0076,Bolt,DIAMETER,1/2 inch,
MAT-0076,Bolt,THREAD,UNC,
MAT-0077,Bolt,TYPE,Stud Bolt,
MAT-0077,Bolt,STANDARD,ASTM A193,
MAT-0077,Bolt,MATERIAL,Stainless Steel,
MAT-0077,Bolt,GRADE,B8,
MAT-0077,Bolt,LENGTH,100mm,
MAT-0077,Bolt,DIAMETER,1/2 inch,
MAT-0077,Bolt,THREAD,UNC,
MAT-0078,Bolt,TYPE,Stud Bolt,
MAT-0078,Bolt,STANDARD,ASTM A193,
MAT-0078,Bolt,MATERIAL,Stainless Steel,
MAT-0078,Bolt,GRADE,B8,
MAT-0078,Bolt,LENGTH,100mm,
MAT-0078,Bolt,DIAMETER,1/2 inch,
MAT-0078,Bolt,THREAD,UNC,
MAT-0079,Bolt,TYPE,Anchor Bolt,
MAT-0079,Bolt,STANDARD,DIN 529,
MAT-0079,Bolt,MATERIAL,Carbon Steel,
MAT-0079,Bolt,GRADE,4.6,
MAT-0079,Bolt,LENGTH,300mm,
MAT-0079,Bolt,DIAMETER,M24,
MAT-0079,Bolt,THREAD,Coarse,
MAT-0080,Bolt,TYPE,Anchor Bolt,
MAT-0080,Bolt,STANDARD,DIN 529,
MAT-0080,Bolt,MATERIAL,Carbon Steel,
MAT-0080,Bolt,GRADE,4.6,
MAT-0080,Bolt,LENGTH,300mm,
MAT-0080,Bolt,DIAMETER,M24,
MAT-0080,Bolt,THREAD,Coarse,
MAT-0081,Bolt,TYPE,Anchor Bolt,
MAT-0081,Bolt,STANDARD,DIN 529,
MAT-0081,Bolt,MATERIAL,Carbon Steel,
MAT-0081,Bolt,GRADE,4.6,
MAT-0081,Bolt,LENGTH,300mm,
MAT-0081,Bolt,DIAMETER,M24,
MAT-0082,Bolt,TYPE,Hex Head,
MAT-0082,Bolt,STANDARD,ISO 4017,
MAT-0082,Bolt,MATERIAL,Stainless Steel,
MAT-0082,Bolt,GRADE,A2-70,
MAT-0082,Bolt,LENGTH,40mm,
MAT-0082,Bolt,DIAMETER,M10,
MAT-0082,Bolt,THREAD,Coarse,
MAT-0083,Bolt,TYPE,Hex Head,
MAT-0083,Bolt,STANDARD,ISO 4017,
MAT-0083,Bolt,MATERIAL,Stainless Steel,
MAT-0083,Bolt,GRADE,A2-70,
MAT-0083,Bolt,LENGTH,40mm,
MAT-0083,Bolt,DIAMETER,M10,
MAT-0083,Bolt,THREAD,Coarse,
MAT-0084,Bolt,TYPE,Hex Head,
MAT-0084,Bolt,STANDARD,ISO 4017,
MAT-0084,Bolt,MATERIAL,Stainless Steel,
MAT-0084,Bolt,GRADE,A2-70,
MAT-0084,Bolt,LENGTH,40mm,
MAT-0084,Bolt,DIAMETER,M10,
MAT-0084,Bolt,THREAD,Coarse,
MAT-0085,Bolt,TYPE,U-Bolt,
MAT-0085,Bolt,STANDARD,DIN 3570,
MAT-0085,Bolt,MATERIAL,Galvanized Steel,
MAT-0085,Bolt,GRADE,4.8,
MAT-0085,Bolt,LENGTH,150mm,
MAT-0085,Bolt,DIAMETER,M12,
MAT-0085,Bolt,THREAD,Coarse,
MAT-0086,Bolt,TYPE,U-Bolt,
MAT-0086,Bolt,STANDARD,DIN 3570,
MAT-0086,Bolt,MATERIAL,Galvanized Steel,
MAT-0086,Bolt,GRADE,4.8,
MAT-0086,Bolt,LENGTH,150mm,
MAT-0086,Bolt,DIAMETER,M12,
MAT-0086,Bolt,THREAD,Coarse,
MAT-0087,Bolt,TYPE,U-Bolt,
MAT-0087,Bolt,STANDARD,DIN 3570,
MAT-0087,Bolt,MATERIAL,Galvanized Steel,
MAT-0087,Bolt,GRADE,4.8,
MAT-0087,Bolt,LENGTH,150mm,
MAT-0087,Bolt,DIAMETER,M12,
MAT-0087,Bolt,THREAD,Coarse,
