event_id,timestamp,pair_id,event_type,actor,reason
EVT-0035,2026-09-18T19:36:56.338246,PR-0019,PROPOSED,AI_SYSTEM,System generated match
EVT-0036,2026-09-18T20:06:56.338261,PR-0019,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0037,2026-09-18T20:36:56.338276,PR-0019,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0038,2026-09-18T19:36:56.344183,PR-0020,PROPOSED,AI_SYSTEM,System generated match
EVT-0039,2026-09-18T19:36:56.349945,PR-0021,PROPOSED,AI_SYSTEM,System generated match
EVT-0040,2026-09-18T20:06:56.349953,PR-0021,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0041,2026-09-18T20:36:56.349961,PR-0021,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0042,2026-09-18T19:36:56.357101,PR-0022,PROPOSED,AI_SYSTEM,System generated match
EVT-0043,2026-09-18T19:36:56.362663,PR-0023,PROPOSED,AI_SYSTEM,System generated match
EVT-0044,2026-09-18T20:06:56.362669,PR-0023,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0045,2026-09-18T19:36:56.367963,PR-0024,PROPOSED,AI_SYSTEM,System generated match
EVT-0046,2026-09-18T20:06:56.367969,PR-0024,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0047,2026-09-18T20:36:56.367977,PR-0024,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0048,2026-09-18T19:36:56.374889,PR-0025,PROPOSED,AI_SYSTEM,System generated match
EVT-0049,2026-09-18T20:06:56.374896,PR-0025,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0050,2026-09-18T20:36:56.374904,PR-0025,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0051,2026-09-18T19:36:56.380575,PR-0026,PROPOSED,AI_SYSTEM,System generated match
EVT-0052,2026-09-18T20:06:56.380582,PR-0026,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0053,2026-09-18T19:36:56.386464,PR-0027,PROPOSED,AI_SYSTEM,System generated match
EVT-0054,2026-09-18T20:06:56.386473,PR-0027,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0055,2026-09-18T20:36:56.386484,PR-0027,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0056,2026-09-18T19:36:56.392694,PR-0028,PROPOSED,AI_SYSTEM,System generated match
EVT-0057,2026-09-18T20:06:56.392701,PR-0028,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0058,2026-09-18T19:36:56.398483,PR-0029,PROPOSED,AI_SYSTEM,System generated match
EVT-0059,2026-09-18T19:36:56.405251,PR-0030,PROPOSED,AI_SYSTEM,System generated match
EVT-0060,2026-09-18T19:36:56.411743,PR-0031,PROPOSED,AI_SYSTEM,System generated match
EVT-0061,2026-09-18T20:06:56.411753,PR-0031,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0062,2026-09-18T20:36:56.411763,PR-0031,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0063,2026-09-18T19:36:56.418850,PR-0032,PROPOSED,AI_SYSTEM,System generated match
EVT-0064,2026-09-18T20:06:56.418857,PR-0032,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0065,2026-09-18T20:36:56.418866,PR-0032,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0066,2026-09-18T19:36:56.426397,PR-0033,PROPOSED,AI_SYSTEM,System generated match
EVT-0067,2026-09-18T19:36:56.432034,PR-0034,PROPOSED,AI_SYSTEM,System generated match
EVT-0068,2026-09-18T19:36:56.438970,PR-0035,PROPOSED,AI_SYSTEM,System generated match
EVT-0069,2026-09-18T20:06:56.438980,PR-0035,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0070,2026-09-18T20:36:56.438989,PR-0035,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0071,2026-09-18T19:36:56.445229,PR-0036,PROPOSED,AI_SYSTEM,System generated match
EVT-0072,2026-09-18T19:36:56.450623,PR-0037,PROPOSED,AI_SYSTEM,System generated match
EVT-0073,2026-09-18T19:36:56.457477,PR-0038,PROPOSED,AI_SYSTEM,System generated match
EVT-0074,2026-09-18T19:36:56.463254,PR-0039,PROPOSED,AI_SYSTEM,System generated match
EVT-0075,2026-09-18T20:06:56.463263,PR-0039,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0076,2026-09-18T20:36:56.463273,PR-0039,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0077,2026-09-18T19:36:56.468655,PR-0040,PROPOSED,AI_SYSTEM,System generated match
EVT-0078,2026-09-18T20:06:56.468664,PR-0040,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0079,2026-09-18T19:36:56.475074,PR-0041,PROPOSED,AI_SYSTEM,System generated match
EVT-0080,2026-09-18T19:36:56.480494,PR-0042,PROPOSED,AI_SYSTEM,System generated match
EVT-0081,2026-09-18T19:36:56.486222,PR-0043,PROPOSED,AI_SYSTEM,System generated match
EVT-0082,2026-09-18T19:36:56.493019,PR-0044,PROPOSED,AI_SYSTEM,System generated match
EVT-0083,2026-09-18T19:36:56.498413,PR-0045,PROPOSED,AI_SYSTEM,System generated match
EVT-0084,2026-09-18T20:06:56.498419,PR-0045,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0085,2026-09-18T19:36:56.504939,PR-0046,PROPOSED,AI_SYSTEM,System generated match
EVT-0086,2026-09-18T20:06:56.504951,PR-0046,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0087,2026-09-18T19:36:56.511654,PR-0047,PROPOSED,AI_SYSTEM,System generated match
EVT-0088,2026-09-18T20:06:56.511662,PR-0047,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0089,2026-09-18T20:36:56.511671,PR-0047,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0090,2026-09-18T19:36:56.516994,PR-0048,PROPOSED,AI_SYSTEM,System generated match
EVT-0091,2026-09-18T20:06:56.517001,PR-0048,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0092,2026-09-18T20:36:56.517008,PR-0048,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0093,2026-09-18T19:36:56.524026,PR-0049,PROPOSED,AI_SYSTEM,System generated match
EVT-0094,2026-09-18T20:06:56.524037,PR-0049,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0095,2026-09-18T20:36:56.524046,PR-0049,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0096,2026-09-18T19:36:56.529541,PR-0050,PROPOSED,AI_SYSTEM,System generated match
EVT-0097,2026-09-18T20:06:56.529548,PR-0050,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0098,2026-09-18T19:36:56.535133,PR-0051,PROPOSED,AI_SYSTEM,System generated match
EVT-0099,2026-09-18T20:06:56.535142,PR-0051,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0100,2026-09-18T20:36:56.535150,PR-0051,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0101,2026-09-18T19:36:56.541354,PR-0052,PROPOSED,AI_SYSTEM,System generated match
EVT-0102,2026-09-18T19:36:56.546594,PR-0053,PROPOSED,AI_SYSTEM,System generated match
EVT-0103,2026-09-18T20:06:56.546600,PR-0053,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0104,2026-09-18T19:36:56.552217,PR-0054,PROPOSED,AI_SYSTEM,System generated match
EVT-0105,2026-09-18T19:36:56.558797,PR-0055,PROPOSED,AI_SYSTEM,System generated match
EVT-0106,2026-09-18T20:06:56.558804,PR-0055,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0107,2026-09-18T19:36:56.564070,PR-0056,PROPOSED,AI_SYSTEM,System generated match
EVT-0108,2026-09-18T20:06:56.564077,PR-0056,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0109,2026-09-18T19:36:56.570213,PR-0057,PROPOSED,AI_SYSTEM,System generated match
EVT-0110,2026-09-18T20:06:56.570224,PR-0057,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0111,2026-09-18T20:36:56.570232,PR-0057,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0112,2026-09-18T19:36:56.575865,PR-0058,PROPOSED,AI_SYSTEM,System generated match
EVT-0113,2026-09-18T19:36:56.581150,PR-0059,PROPOSED,AI_SYSTEM,System generated match
EVT-0114,2026-09-18T20:06:56.581156,PR-0059,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0115,2026-09-18T20:36:56.581164,PR-0059,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0116,2026-09-18T19:36:56.589026,PR-0060,PROPOSED,AI_SYSTEM,System generated match
EVT-0117,2026-09-18T20:06:56.589038,PR-0060,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0118,2026-09-18T20:36:56.589050,PR-0060,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0119,2026-09-18T19:36:56.594842,PR-0061,PROPOSED,AI_SYSTEM,System generated match
EVT-0120,2026-09-18T19:36:56.603392,PR-0062,PROPOSED,AI_SYSTEM,System generated match
EVT-0121,2026-09-18T20:06:56.603401,PR-0062,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0122,2026-09-18T20:36:56.603412,PR-0062,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0123,2026-09-18T19:36:56.610418,PR-0063,PROPOSED,AI_SYSTEM,System generated match
EVT-0124,2026-09-18T20:06:56.610425,PR-0063,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0125,2026-09-18T19:36:56.616967,PR-0064,PROPOSED,AI_SYSTEM,System generated match
EVT-0126,2026-09-18T20:06:56.616974,PR-0064,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0127,2026-09-18T20:36:56.616981,PR-0064,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0128,2026-09-18T19:36:56.624434,PR-0065,PROPOSED,AI_SYSTEM,System generated match
EVT-0129,2026-09-18T20:06:56.624443,PR-0065,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0130,2026-09-18T20:36:56.624454,PR-0065,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0131,2026-09-18T19:36:56.630418,PR-0066,PROPOSED,AI_SYSTEM,System generated match
EVT-0132,2026-09-18T19:36:56.636509,PR-0067,PROPOSED,AI_SYSTEM,System generated match
EVT-0133,2026-09-18T20:06:56.636519,PR-0067,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0134,2026-09-18T20:36:56.636530,PR-0067,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0135,2026-09-18T19:36:56.643078,PR-0068,PROPOSED,AI_SYSTEM,System generated match
EVT-0136,2026-09-18T19:36:56.648726,PR-0069,PROPOSED,AI_SYSTEM,System generated match
EVT-0137,2026-09-18T20:06:56.648733,PR-0069,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0138,2026-09-18T19:36:56.655858,PR-0070,PROPOSED,AI_SYSTEM,System generated match
EVT-0139,2026-09-18T19:36:56.662018,PR-0071,PROPOSED,AI_SYSTEM,System generated match
EVT-0140,2026-09-18T19:36:56.667374,PR-0072,PROPOSED,AI_SYSTEM,System generated match
EVT-0141,2026-09-18T20:06:56.667380,PR-0072,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0142,2026-09-18T20:36:56.667389,PR-0072,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0143,2026-09-18T19:36:56.675178,PR-0073,PROPOSED,AI_SYSTEM,System generated match
EVT-0144,2026-09-18T19:36:56.680653,PR-0074,PROPOSED,AI_SYSTEM,System generated match
EVT-0145,2026-09-18T20:06:56.680660,PR-0074,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0146,2026-09-18T20:36:56.680669,PR-0074,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0147,2026-09-18T19:36:56.686767,PR-0075,PROPOSED,AI_SYSTEM,System generated match
EVT-0148,2026-09-18T20:06:56.686776,PR-0075,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0149,2026-09-18T19:37:00.574727,PR-0076,PROPOSED,AI_SYSTEM,System generated match
EVT-0150,2026-09-18T20:07:00.574740,PR-0076,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0151,2026-09-18T19:37:00.580127,PR-0077,PROPOSED,AI_SYSTEM,System generated match
EVT-0152,2026-09-18T20:07:00.580134,PR-0077,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0153,2026-09-18T19:37:00.586199,PR-0078,PROPOSED,AI_SYSTEM,System generated match
EVT-0154,2026-09-18T20:07:00.586224,PR-0078,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0155,2026-09-18T20:37:00.586241,PR-0078,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0156,2026-09-18T19:37:00.592515,PR-0079,PROPOSED,AI_SYSTEM,System generated match
EVT-0157,2026-09-18T19:37:00.597712,PR-0080,PROPOSED,AI_SYSTEM,System generated match
EVT-0158,2026-09-18T19:37:00.604314,PR-0081,PROPOSED,AI_SYSTEM,System generated match
EVT-0159,2026-09-18T20:07:00.604322,PR-0081,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0160,2026-09-18T19:37:00.610365,PR-0082,PROPOSED,AI_SYSTEM,System generated match
EVT-0161,2026-09-18T20:07:00.610380,PR-0082,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0162,2026-09-18T19:37:00.615814,PR-0083,PROPOSED,AI_SYSTEM,System generated match
EVT-0163,2026-09-18T20:07:00.615821,PR-0083,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0164,2026-09-18T19:37:00.622866,PR-0084,PROPOSED,AI_SYSTEM,System generated match
EVT-0165,2026-09-18T20:07:00.622875,PR-0084,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0166,2026-09-18T19:37:00.628117,PR-0085,PROPOSED,AI_SYSTEM,System generated match
EVT-0167,2026-09-18T20:07:00.628123,PR-0085,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0168,2026-09-18T19:37:00.633505,PR-0086,PROPOSED,AI_SYSTEM,System generated match
EVT-0169,2026-09-18T20:07:00.633512,PR-0086,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0170,2026-09-18T19:37:00.639921,PR-0087,PROPOSED,AI_SYSTEM,System generated match
EVT-0171,2026-09-18T20:07:00.639931,PR-0087,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0172,2026-09-18T20:37:00.639940,PR-0087,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0173,2026-09-18T19:37:00.645190,PR-0088,PROPOSED,AI_SYSTEM,System generated match
EVT-0174,2026-09-18T20:07:00.645198,PR-0088,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0175,2026-09-18T20:37:00.645206,PR-0088,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0176,2026-09-18T19:37:00.650857,PR-0089,PROPOSED,AI_SYSTEM,System generated match
EVT-0177,2026-09-18T20:07:00.650863,PR-0089,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0178,2026-09-18T20:37:00.650870,PR-0089,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0179,2026-09-18T19:37:00.657672,PR-0090,PROPOSED,AI_SYSTEM,System generated match
EVT-0180,2026-09-18T20:07:00.657682,PR-0090,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0181,2026-09-18T20:37:00.657691,PR-0090,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0182,2026-09-18T19:37:00.662979,PR-0091,PROPOSED,AI_SYSTEM,System generated match
EVT-0183,2026-09-18T19:37:00.668373,PR-0092,PROPOSED,AI_SYSTEM,System generated match
EVT-0184,2026-09-18T20:07:00.668380,PR-0092,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0185,2026-09-18T19:37:00.674297,PR-0093,PROPOSED,AI_SYSTEM,System generated match
EVT-0186,2026-09-18T19:37:00.679575,PR-0094,PROPOSED,AI_SYSTEM,System generated match
EVT-0187,2026-09-18T20:07:00.679585,PR-0094,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0188,2026-09-18T20:37:00.679598,PR-0094,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0189,2026-09-18T19:37:00.685005,PR-0095,PROPOSED,AI_SYSTEM,System generated match
EVT-0190,2026-09-18T19:37:00.691051,PR-0096,PROPOSED,AI_SYSTEM,System generated match
EVT-0191,2026-09-18T20:07:00.691059,PR-0096,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0192,2026-09-18T19:37:00.696671,PR-0097,PROPOSED,AI_SYSTEM,System generated match
EVT-0193,2026-09-18T20:07:00.696678,PR-0097,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0194,2026-09-18T19:37:00.701948,PR-0098,PROPOSED,AI_SYSTEM,System generated match
EVT-0195,2026-09-18T20:07:00.701954,PR-0098,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0196,2026-09-18T20:37:00.701961,PR-0098,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0197,2026-09-18T19:37:00.707989,PR-0099,PROPOSED,AI_SYSTEM,System generated match
EVT-0198,2026-09-18T19:37:00.713445,PR-0100,PROPOSED,AI_SYSTEM,System generated match
EVT-0199,2026-09-18T20:07:00.713452,PR-0100,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0200,2026-09-18T20:37:00.713460,PR-0100,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0201,2026-09-18T19:37:00.718655,PR-0101,PROPOSED,AI_SYSTEM,System generated match
EVT-0202,2026-09-18T20:07:00.718676,PR-0101,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0203,2026-09-18T19:37:00.724786,PR-0102,PROPOSED,AI_SYSTEM,System generated match
EVT-0204,2026-09-18T19:37:00.730287,PR-0103,PROPOSED,AI_SYSTEM,System generated match
EVT-0205,2026-09-18T19:37:00.735498,PR-0104,PROPOSED,AI_SYSTEM,System generated match
EVT-0206,2026-09-18T19:37:00.741860,PR-0105,PROPOSED,AI_SYSTEM,System generated match
EVT-0207,2026-09-18T20:07:00.741879,PR-0105,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0208,2026-09-18T20:37:00.741888,PR-0105,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0209,2026-09-18T19:37:00.747389,PR-0106,PROPOSED,AI_SYSTEM,System generated match
EVT-0210,2026-09-18T20:07:00.747396,PR-0106,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0211,2026-09-18T19:37:00.753131,PR-0107,PROPOSED,AI_SYSTEM,System generated match
EVT-0212,2026-09-18T19:37:00.758906,PR-0108,PROPOSED,AI_SYSTEM,System generated match
EVT-0213,2026-09-18T20:07:00.758913,PR-0108,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0214,2026-09-18T20:37:00.758922,PR-0108,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0215,2026-09-18T19:37:00.764511,PR-0109,PROPOSED,AI_SYSTEM,System generated match
EVT-0216,2026-09-18T20:07:00.764517,PR-0109,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0217,2026-09-18T19:37:00.770208,PR-0110,PROPOSED,AI_SYSTEM,System generated match
EVT-0218,2026-09-18T20:07:00.770215,PR-0110,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0219,2026-09-18T19:37:00.775899,PR-0111,PROPOSED,AI_SYSTEM,System generated match
EVT-0220,2026-09-18T20:07:00.775906,PR-0111,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0221,2026-09-18T19:37:00.781146,PR-0112,PROPOSED,AI_SYSTEM,System generated match
EVT-0222,2026-09-18T20:07:00.781152,PR-0112,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0223,2026-09-18T20:37:00.781159,PR-0112,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0224,2026-09-18T19:37:00.787015,PR-0113,PROPOSED,AI_SYSTEM,System generated match
EVT-0225,2026-09-18T20:07:00.787024,PR-0113,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0226,2026-09-18T20:37:00.787036,PR-0113,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0227,2026-09-18T19:37:00.792775,PR-0114,PROPOSED,AI_SYSTEM,System generated match
EVT-0228,2026-09-18T20:07:00.792782,PR-0114,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0229,2026-09-18T19:37:00.798033,PR-0115,PROPOSED,AI_SYSTEM,System generated match
EVT-0230,2026-09-18T19:37:00.803982,PR-0116,PROPOSED,AI_SYSTEM,System generated match
EVT-0231,2026-09-18T20:07:00.803989,PR-0116,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0232,2026-09-18T20:37:00.804004,PR-0116,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0233,2026-09-18T19:37:00.809665,PR-0117,PROPOSED,AI_SYSTEM,System generated match
EVT-0234,2026-09-18T20:07:00.809673,PR-0117,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0235,2026-09-18T19:37:00.815000,PR-0118,PROPOSED,AI_SYSTEM,System generated match
EVT-0236,2026-09-18T20:07:00.815007,PR-0118,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0237,2026-09-18T19:37:00.821642,PR-0119,PROPOSED,AI_SYSTEM,System generated match
EVT-0238,2026-09-18T20:07:00.821651,PR-0119,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0239,2026-09-18T20:37:00.821662,PR-0119,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0240,2026-09-18T19:37:00.827627,PR-0120,PROPOSED,AI_SYSTEM,System generated match
EVT-0241,2026-09-18T20:07:00.827634,PR-0120,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0242,2026-09-18T19:37:00.832969,PR-0121,PROPOSED,AI_SYSTEM,System generated match
EVT-0243,2026-09-18T20:07:00.832975,PR-0121,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0244,2026-09-18T20:37:00.832982,PR-0121,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0245,2026-09-18T19:37:00.839740,PR-0122,PROPOSED,AI_SYSTEM,System generated match
EVT-0246,2026-09-18T19:37:00.845132,PR-0123,PROPOSED,AI_SYSTEM,System generated match
EVT-0247,2026-09-18T20:07:00.845138,PR-0123,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0248,2026-09-18T19:37:00.850381,PR-0124,PROPOSED,AI_SYSTEM,System generated match
EVT-0249,2026-09-18T19:37:00.856880,PR-0125,PROPOSED,AI_SYSTEM,System generated match
EVT-0250,2026-09-18T20:07:00.856888,PR-0125,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0251,2026-09-18T20:37:00.856902,PR-0125,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0252,2026-09-18T19:37:00.862198,PR-0126,PROPOSED,AI_SYSTEM,System generated match
EVT-0253,2026-09-18T20:07:00.862204,PR-0126,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0254,2026-09-18T19:37:00.867925,PR-0127,PROPOSED,AI_SYSTEM,System generated match
EVT-0255,2026-09-18T20:07:00.867932,PR-0127,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0256,2026-09-18T20:37:00.867939,PR-0127,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0257,2026-09-18T19:37:00.874132,PR-0128,PROPOSED,AI_SYSTEM,System generated match
EVT-0258,2026-09-18T19:37:00.879413,PR-0129,PROPOSED,AI_SYSTEM,System generated match
EVT-0259,2026-09-18T19:37:00.884990,PR-0130,PROPOSED,AI_SYSTEM,System generated match
EVT-0260,2026-09-18T20:07:00.884997,PR-0130,REVIEW,MASTER_DATA_STEWARD,Manual review required
