MATNR,MAKTX,MEINS,BSTME,MATKL,MTART,WERKS,LGORT,BKLAS,VPRSV,VERPR,STPRS,EXTWG
0000000010045903,"PIPE SEAMLESS 4"" SCH 40 ASTM A106 GR B",MTR,MTR,PIP-01,ROH,1002,0001,3000,V,16256.5,16256.5,
0000000010045904,"PIPE SEAMLESS 6"" SCH 40 ASTM A106 GR B",MTR,MTR,PIP-01,ROH,1001,0001,3000,V,17507.0,17507.0,
0000000010045905,"PIPE SEAMLESS 8"" SCH 80 ASTM A106 GR B",MTR,MTR,PIP-01,ROH,1002,0001,3000,V,18757.5,18757.5,
0000000010045906,"PIPE STAINLESS 2"" SCH 40S ASTM A312 TP304L",MTR,MTR,PIP-01,ROH,1001,0001,3000,V,20008.0,20008.0,
0000000010045907,"PIPE STAINLESS 4"" SCH 40S ASTM A312 TP304L",MTR,MTR,PIP-01,ROH,1002,0001,3000,V,21258.5,21258.5,
0000000010045908,"PIPE STAINLESS 2"" SCH 40S ASTM A312 TP316L",MTR,MTR,PIP-01,ROH,1001,0001,3000,V,22509.0,22509.0,
0000000010045909,PIPE ERW 100MM HEAVY IS 1239 PART 1,MTR,MTR,PIP-01,ROH,1002,0001,3000,V,23759.5,23759.5,
0000000010045910,PIPE ERW 150MM HEAVY IS 3589 FE 410,MTR,MTR,PIP-01,ROH,1001,0001,3000,V,25010.0,25010.0,
0000000010045911,"FLG WNRF 2"" CL150 ASTM A105 SCH 40",EA,EA,FLA-01,ROH,1002,0001,3000,V,26260.5,26260.5,
0000000010045912,"FLG WNRF 4"" CL150 ASTM A105 SCH 40",EA,EA,FLA-01,ROH,1001,0001,3000,V,27511.0,27511.0,
0000000010045913,"FLG WNRF 6"" CL300 ASTM A105 SCH 40",EA,EA,FLA-01,ROH,1002,0001,3000,V,28761.5,28761.5,
0000000010045914,"FLG SORF 2"" CL150 ASTM A105",EA,EA,FLA-01,ROH,1001,0001,3000,V,30012.0,30012.0,
0000000010045915,"FLG SORF 4"" CL150 ASTM A105",EA,EA,FLA-01,ROH,1002,0001,3000,V,31262.5,31262.5,
0000000010045916,"FLG BLIND 2"" CL150 ASTM A105 RF",EA,EA,FLA-01,ROH,1001,0001,3000,V,32513.0,32513.0,
0000000010045917,"FLG BLIND 4"" CL150 ASTM A105 RF",EA,EA,FLA-01,ROH,1002,0001,3000,V,33763.5,33763.5,
0000000010045918,"FLG WNRF 2"" CL150 ASTM A182 F316L",EA,EA,FLA-01,ROH,1001,0001,3000,V,35014.0,35014.0,
0000000010045919,STUD BOLT 3/4IN X 100MM A193 B7 W/ 2 NUTS A194 2H,SET,SET,FAS-01,ROH,1002,0001,3000,V,36264.5,36264.5,
0000000010045920,STUD BOLT 7/8IN X 120MM A193 B7 W/ 2 NUTS A194 2H,SET,SET,FAS-01,ROH,1001,0001,3000,V,37515.0,37515.0,
0000000010045921,STUD BOLT 1IN X 150MM A193 B7 W/ 2 NUTS A194 2H,SET,SET,FAS-01,ROH,1002,0001,3000,V,38765.5,38765.5,
0000000010045922,STUD BOLT M16 X 60MM IS 1363 CLASS 8.8 GALV,NOS,NOS,FAS-01,ROH,1001,0001,3000,V,40016.0,40016.0,
0000000010045923,"GSK SP WOUND 2"" CL150 SS316 / GRAPHITE ASME B16.20",NOS,NOS,GAS-01,ROH,1002,0001,3000,V,41266.5,41266.5,
0000000010045924,"GSK SP WOUND 4"" CL150 SS316 / GRAPHITE ASME B16.20",NOS,NOS,GAS-01,ROH,1001,0001,3000,V,42517.0,42517.0,
0000000010045925,"GSK SP WOUND 6"" CL300 SS316 / GRAPHITE ASME B16.20",NOS,NOS,GAS-01,ROH,1002,0001,3000,V,43767.5,43767.5,
0000000010045926,CBL HT XLPE 3C X 240 SQMM 11KV AL ARMOURED IS 7098 P2,MTR,MTR,CAB-01,ROH,1001,0001,3000,V,45018.0,45018.0,
0000000010045927,CBL HT XLPE 3C X 300 SQMM 11KV AL ARMOURED IS 7098 P2,MTR,MTR,CAB-01,ROH,1002,0001,3000,V,46268.5,46268.5,
0000000010045928,CBL HT XLPE 3C X 300 SQMM 33KV AL ARMOURED IS 7098 P2,MTR,MTR,CAB-01,ROH,1001,0001,3000,V,47519.0,47519.0,
0000000010045929,CBL LT XLPE 4C X 16 SQMM 1.1KV AL ARMOURED IS 7098 P1,MTR,MTR,CAB-01,ROH,1002,0001,3000,V,48769.5,48769.5,
0000000010045930,CBL LT XLPE 4C X 25 SQMM 1.1KV AL ARMOURED IS 7098 P1,MTR,MTR,CAB-01,ROH,1001,0001,3000,V,50020.0,50020.0,
0000000010045931,CBL LT XLPE 4C X 50 SQMM 1.1KV AL ARMOURED IS 7098 P1,MTR,MTR,CAB-01,ROH,1002,0001,3000,V,51270.5,51270.5,
0000000010045932,OIL TRANS UNINHIBITED MINERAL OIL IS 335,LTR,LTR,OIL-01,ROH,1001,0001,3000,V,52521.0,52521.0,
0000000010045933,ELECTRICAL SILICA GEL BLUE INDICATING BREATHER GRADE,KG,KG,ELE-01,ROH,1002,0001,3000,V,53771.5,53771.5,
0000000010045934,PUMP CENTRIFUGAL 50 M3/HR 60M HEAD 37KW MOTOR,NOS,NOS,PUM-01,ERSA,1001,0001,3040,V,55022.0,55022.0,
0000000010045935,PUMP CENTRIFUGAL 100 M3/HR 45M HEAD 45KW MOTOR,NOS,NOS,PUM-01,ERSA,1002,0001,3040,V,56272.5,56272.5,
0000000010045936,PUMP SUBMERSIBLE DEWATERING 30 M3/HR 25M HEAD 7.5KW,NOS,NOS,PUM-01,ERSA,1001,0001,3040,V,57523.0,57523.0,
0000000010045937,MOTOR INDUCTION 37 KW 4-POLE 415V 50HZ IE3 B3 FOOT,NOS,NOS,MOT-01,ERSA,1002,0001,3040,V,58773.5,58773.5,
0000000010045938,MOTOR INDUCTION 75 KW 4-POLE 415V 50HZ IE3 B3 FOOT,NOS,NOS,MOT-01,ERSA,1001,0001,3040,V,60024.0,60024.0,
0000000010045939,COUPLING FLEXIBLE PIN BUSH TYPE SIZE F80 WITH PIN & BUSH,SET,SET,COU-01,ROH,1002,0001,3000,V,61274.5,61274.5,
0000000010045940,MECHANICAL SEAL CARTRIDGE SINGLE BALANCED 50MM FOR WATER PUMP,NOS,NOS,MEC-01,ROH,1001,0001,3000,V,62525.0,62525.0,
0000000010045941,BRG BALL DEEP GROOVE 6312 2Z C3 CLEARANCE,NOS,NOS,BEA-01,ERSA,1002,0001,3040,V,63775.5,63775.5,
0000000010045942,BRG BALL DEEP GROOVE 6315 C3 CLEARANCE OPEN,NOS,NOS,BEA-01,ERSA,1001,0001,3040,V,65026.0,65026.0,
0000000010045943,BRG ROLLER SPHERICAL ROLLER 22220 EK/C3 TAPER BORE,NOS,NOS,BEA-01,ERSA,1002,0001,3040,V,66276.5,66276.5,
0000000010045944,BRG ROLLER SPHERICAL ROLLER 22316 CC/W33,NOS,NOS,BEA-01,ERSA,1001,0001,3040,V,67527.0,67527.0,
0000000010045945,BRG BALL DEEP GROOVE 6208 2RS SEALED,NOS,NOS,BEA-01,ERSA,1002,0001,3040,V,68777.5,68777.5,
0000000010045946,CNV BELT EP 800/4 1200MM WIDE 4+2 GRADE M,MTR,MTR,BEL-01,ERSA,1001,0001,3040,V,70028.0,70028.0,
0000000010045947,CNV BELT EP 1000/4 1400MM WIDE 5+2 GRADE HR,MTR,MTR,BEL-01,ERSA,1002,0001,3040,V,71278.5,71278.5,
0000000010045948,ROLLER IDLER TROUGHING IDLER ROLLER DIA 127MM X 465MM,NOS,NOS,ROL-01,ERSA,1001,0001,3040,V,72529.0,72529.0,
0000000010045949,PULLEY CONVEYOR HEAD DRIVE PULLEY 500MM DIA X 1400MM FACE RUBBER LAGGED,NOS,NOS,PUL-01,ROH,1002,0001,3000,V,73779.5,73779.5,
0000000010045950,INSTRUMENT TRANSMITTER PRESSURE TRANSMITTER 4-20MA HART 0-10 BAR 1/2IN NPT,NOS,NOS,INS-01,ROH,1001,0001,3000,V,75030.0,75030.0,
