ITEMNUM,DESCRIPTION,ITEMSETID,ITEMTYPE,ORDERUNIT,ISSUEUNIT,COMMODITYGROUP,COMMODITY,STATUS,ROTATING,SITEID,LOCATION,CURBAL,UNITCOST,NATIONAL_ID
MX-40951,"CABLE, LT XLPE, 4C X 50 SQMM, 1.1KV, AL ARMOURED IS 7098 P1",SET1,ITEM,MTR,MTR,CABLE,LT XLPE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,42,51660.0,
MX-40952,"OIL, TRANSFORMER, UNINHIBITED MINERAL OIL IS 335",SET1,ITEM,LTR,LTR,OIL,TRANSFORMER,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,49,52920.0,
MX-40953,"ELECTRICAL, SILICA GEL, BLUE INDICATING BREATHER GRADE",SET1,ITEM,KG,KG,ELECTRICAL,SILICA GEL,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,6,54180.0,
MX-40954,"PUMP, CENTRIFUGAL, 50 M3/HR 60M HEAD 37KW MOTOR",SET1,ITEM,SET,SET,PUMP,CENTRIFUGAL,ACTIVE,1,BHILAI_STEEL,CENTRAL_STORE,13,55440.0,
MX-40955,"PUMP, CENTRIFUGAL, 100 M3/HR 45M HEAD 45KW MOTOR",SET1,ITEM,SET,SET,PUMP,CENTRIFUGAL,ACTIVE,1,SINGRAULI_PWR,CENTRAL_STORE,20,56700.0,
MX-40956,"PUMP, SUBMERSIBLE, DEWATERING 30 M3/HR 25M HEAD 7.5KW",SET1,ITEM,SET,SET,PUMP,SUBMERSIBLE,ACTIVE,1,BHILAI_STEEL,CENTRAL_STORE,27,57960.0,
MX-40957,"MOTOR, ELECTRIC, INDUCTION, 37 KW 4-POLE 415V 50HZ IE3 B3 FOOT",SET1,ITEM,NOS,NOS,MOTOR,INDUCTION,ACTIVE,1,SINGRAULI_PWR,CENTRAL_STORE,34,59220.0,
MX-40958,"MOTOR, ELECTRIC, INDUCTION, 75 KW 4-POLE 415V 50HZ IE3 B3 FOOT",SET1,ITEM,NOS,NOS,MOTOR,INDUCTION,ACTIVE,1,BHILAI_STEEL,CENTRAL_STORE,41,60480.0,
MX-40959,"COUPLING, FLEXIBLE, PIN BUSH TYPE SIZE F80 WITH PIN & BUSH",SET1,ITEM,SET,SET,COUPLING,FLEXIBLE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,48,61740.0,
MX-40960,"MECHANICAL SEAL, CARTRIDGE, SINGLE BALANCED 50MM FOR WATER PUMP",SET1,ITEM,NOS,NOS,MECHANICAL SEAL,CARTRIDGE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,5,63000.0,
MX-40961,"BEARING, BALL, DEEP GROOVE 6312 2Z C3 CLEARANCE",SET1,ITEM,NOS,NOS,BEARING,BALL,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,12,64260.0,
MX-40962,"BEARING, BALL, DEEP GROOVE 6315 C3 CLEARANCE OPEN",SET1,ITEM,NOS,NOS,BEARING,BALL,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,19,65520.0,
MX-40963,"BEARING, ROLLER, SPHERICAL ROLLER 22220 EK/C3 TAPER BORE",SET1,ITEM,NOS,NOS,BEARING,ROLLER,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,26,66780.0,
MX-40964,"BEARING, ROLLER, SPHERICAL ROLLER 22316 CC/W33",SET1,ITEM,NOS,NOS,BEARING,ROLLER,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,33,68040.0,
MX-40965,"BEARING, BALL, DEEP GROOVE 6208 2RS SEALED",SET1,ITEM,NOS,NOS,BEARING,BALL,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,40,69300.0,
MX-40966,"BELT, CONVEYOR, EP 800/4 1200MM WIDE 4+2 GRADE M",SET1,ITEM,M,M,BELT,CONVEYOR,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,47,70560.0,
MX-40967,"BELT, CONVEYOR, EP 1000/4 1400MM WIDE 5+2 GRADE HR",SET1,ITEM,M,M,BELT,CONVEYOR,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,54,71820.0,
MX-40968,"ROLLER, IDLER, TROUGHING IDLER ROLLER DIA 127MM X 465MM",SET1,ITEM,NOS,NOS,ROLLER,IDLER,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,11,73080.0,
MX-40969,"PULLEY, CONVEYOR, HEAD DRIVE PULLEY 500MM DIA X 1400MM FACE RUBBER LAGGED",SET1,ITEM,NOS,NOS,PULLEY,CONVEYOR,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,18,74340.0,
MX-40970,"INSTRUMENT, TRANSMITTER, PRESSURE TRANSMITTER 4-20MA HART 0-10 BAR 1/2IN NPT",SET1,ITEM,NOS,NOS,INSTRUMENT,TRANSMITTER,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,25,75600.0,
