ITEM_NUMBER,ITEM_DESCRIPTION,ORGANIZATION_CODE,PRIMARY_UOM_CODE,SECONDARY_UOM_CODE,ITEM_CLASS_NAME,ITEM_TYPE,ITEM_STATUS,UNIT_COST,GLOBAL_ATTRIBUTE1
ITM-882122,"WNRF FLANGE 4"" RATING CL150 MATERIAL ASTM A105 SCH 40",V1_REFINERY,Each,,FLANGE_CLASS,Purchased Item,Active,27390.0,
ITM-882123,"WNRF FLANGE 6"" RATING CL300 MATERIAL ASTM A105 SCH 40",M1_POWER_STATION,Each,,FLANGE_CLASS,Purchased Item,Active,28635.0,
ITM-882124,"SORF FLANGE 2"" RATING CL150 MATERIAL ASTM A105",V1_REFINERY,Each,,FLANGE_CLASS,Purchased Item,Active,29880.0,
ITM-882125,"SORF FLANGE 4"" RATING CL150 MATERIAL ASTM A105",M1_POWER_STATION,Each,,FLANGE_CLASS,Purchased Item,Active,31125.0,
ITM-882126,"BLIND FLANGE 2"" RATING CL150 MATERIAL ASTM A105 RF",V1_REFINERY,Each,,FLANGE_CLASS,Purchased Item,Active,32370.0,
ITM-882127,"BLIND FLANGE 4"" RATING CL150 MATERIAL ASTM A105 RF",M1_POWER_STATION,Each,,FLANGE_CLASS,Purchased Item,Active,33615.0,
ITM-882128,"WNRF FLANGE 2"" RATING CL150 MATERIAL ASTM A182 F316L",V1_REFINERY,Each,,FLANGE_CLASS,Purchased Item,Active,34860.0,
ITM-882129,HEAVY HEX STUD BOLT 3/4IN X 100MM WITH DUAL HEAVY HEX NUTS A193 B7 W/ 2 NUTS A194 2H,M1_POWER_STATION,Set,,FASTENER_CLASS,Purchased Item,Active,36105.0,
ITM-882130,HEAVY HEX STUD BOLT 7/8IN X 120MM WITH DUAL HEAVY HEX NUTS A193 B7 W/ 2 NUTS A194 2H,V1_REFINERY,Set,,FASTENER_CLASS,Purchased Item,Active,37350.0,
ITM-882131,HEAVY HEX STUD BOLT 1IN X 150MM WITH DUAL HEAVY HEX NUTS A193 B7 W/ 2 NUTS A194 2H,M1_POWER_STATION,Set,,FASTENER_CLASS,Purchased Item,Active,38595.0,
ITM-882132,HEAVY HEX STUD BOLT M16 X 60MM WITH DUAL HEAVY HEX NUTS IS 1363 CLASS 8.8 GALV,V1_REFINERY,Each,,FASTENER_CLASS,Purchased Item,Active,39840.0,
ITM-882133,"SPIRAL WOUND METALLIC GASKET 2"" CLASS CL150 SS316 / GRAPHITE ASME B16.20",M1_POWER_STATION,Each,,GASKET_CLASS,Purchased Item,Active,41085.0,
ITM-882134,"SPIRAL WOUND METALLIC GASKET 4"" CLASS CL150 SS316 / GRAPHITE ASME B16.20",V1_REFINERY,Each,,GASKET_CLASS,Purchased Item,Active,42330.0,
ITM-882135,"SPIRAL WOUND METALLIC GASKET 6"" CLASS CL300 SS316 / GRAPHITE ASME B16.20",M1_POWER_STATION,Each,,GASKET_CLASS,Purchased Item,Active,43575.0,
ITM-882136,11KV GRADE HT XLPE POWER CABLE 3C X 240 SQMM AL ARMOURED IS 7098 P2,V1_REFINERY,Meter,,CABLE_CLASS,Purchased Item,Active,44820.0,
ITM-882137,11KV GRADE HT XLPE POWER CABLE 3C X 300 SQMM AL ARMOURED IS 7098 P2,M1_POWER_STATION,Meter,,CABLE_CLASS,Purchased Item,Active,46065.0,
ITM-882138,33KV GRADE HT XLPE POWER CABLE 3C X 300 SQMM AL ARMOURED IS 7098 P2,V1_REFINERY,Meter,,CABLE_CLASS,Purchased Item,Active,47310.0,
ITM-882139,1.1KV GRADE LT XLPE POWER CABLE 4C X 16 SQMM AL ARMOURED IS 7098 P1,M1_POWER_STATION,Meter,,CABLE_CLASS,Purchased Item,Active,48555.0,
ITM-882140,1.1KV GRADE LT XLPE POWER CABLE 4C X 25 SQMM AL ARMOURED IS 7098 P1,V1_REFINERY,Meter,,CABLE_CLASS,Purchased Item,Active,49800.0,
ITM-882141,1.1KV GRADE LT XLPE POWER CABLE 4C X 50 SQMM AL ARMOURED IS 7098 P1,M1_POWER_STATION,Meter,,CABLE_CLASS,Purchased Item,Active,51045.0,
ITM-882142,INSULATING MINERAL TRANSFORMER OIL UNINHIBITED MINERAL OIL IS 335,V1_REFINERY,Liter,,OIL_CLASS,Purchased Item,Active,52290.0,
ITM-882143,ELECTRICAL SILICA GEL INDUSTRIAL BLUE INDICATING BREATHER GRADE,M1_POWER_STATION,Kilogram,,ELECTRICAL_CLASS,Purchased Item,Active,53535.0,
ITM-882144,HORIZONTAL CENTRIFUGAL PUMP SET 50 M3/HR 60M HEAD 37KW MOTOR,V1_REFINERY,Each,,PUMP_CLASS,Purchased Item,Active,54780.0,
ITM-882145,HORIZONTAL CENTRIFUGAL PUMP SET 100 M3/HR 45M HEAD 45KW MOTOR,M1_POWER_STATION,Each,,PUMP_CLASS,Purchased Item,Active,56025.0,
ITM-882146,HORIZONTAL SUBMERSIBLE PUMP SET DEWATERING 30 M3/HR 25M HEAD 7.5KW,V1_REFINERY,Each,,PUMP_CLASS,Purchased Item,Active,57270.0,
ITM-882147,SQUIRREL CAGE INDUCTION MOTOR 37 KW 4-POLE 415V 50HZ IE3 B3 FOOT,M1_POWER_STATION,Each,,MOTOR_CLASS,Purchased Item,Active,58515.0,
ITM-882148,SQUIRREL CAGE INDUCTION MOTOR 75 KW 4-POLE 415V 50HZ IE3 B3 FOOT,V1_REFINERY,Each,,MOTOR_CLASS,Purchased Item,Active,59760.0,
ITM-882149,COUPLING FLEXIBLE INDUSTRIAL PIN BUSH TYPE SIZE F80 WITH PIN & BUSH,M1_POWER_STATION,Set,,COUPLING_CLASS,Purchased Item,Active,61005.0,
ITM-882150,MECHANICAL SEAL CARTRIDGE INDUSTRIAL SINGLE BALANCED 50MM FOR WATER PUMP,V1_REFINERY,Each,,MECHANICAL SEAL_CLASS,Purchased Item,Active,62250.0,
ITM-882151,PRECISION BALL BEARING DEEP GROOVE 6312 2Z C3 CLEARANCE,M1_POWER_STATION,Each,,BEARING_CLASS,Purchased Item,Active,63495.0,
ITM-882152,PRECISION BALL BEARING DEEP GROOVE 6315 C3 CLEARANCE OPEN,V1_REFINERY,Each,,BEARING_CLASS,Purchased Item,Active,64740.0,
ITM-882153,PRECISION ROLLER BEARING SPHERICAL ROLLER 22220 EK/C3 TAPER BORE,M1_POWER_STATION,Each,,BEARING_CLASS,Purchased Item,Active,65985.0,
ITM-882154,PRECISION ROLLER BEARING SPHERICAL ROLLER 22316 CC/W33,V1_REFINERY,Each,,BEARING_CLASS,Purchased Item,Active,67230.0,
ITM-882155,PRECISION BALL BEARING DEEP GROOVE 6208 2RS SEALED,M1_POWER_STATION,Each,,BEARING_CLASS,Purchased Item,Active,68475.0,
ITM-882156,HEAVY DUTY INDUSTRIAL RUBBER CONVEYOR EP 800/4 1200MM WIDE 4+2 GRADE M,V1_REFINERY,Meter,,BELT_CLASS,Purchased Item,Active,69720.0,
ITM-882157,HEAVY DUTY INDUSTRIAL RUBBER CONVEYOR EP 1000/4 1400MM WIDE 5+2 GRADE HR,M1_POWER_STATION,Meter,,BELT_CLASS,Purchased Item,Active,70965.0,
ITM-882158,ROLLER IDLER INDUSTRIAL TROUGHING IDLER ROLLER DIA 127MM X 465MM,V1_REFINERY,Each,,ROLLER_CLASS,Purchased Item,Active,72210.0,
ITM-882159,PULLEY CONVEYOR INDUSTRIAL HEAD DRIVE PULLEY 500MM DIA X 1400MM FACE RUBBER LAGGED,M1_POWER_STATION,Each,,PULLEY_CLASS,Purchased Item,Active,73455.0,
ITM-882160,INSTRUMENT TRANSMITTER INDUSTRIAL PRESSURE TRANSMITTER 4-20MA HART 0-10 BAR 1/2IN NPT,V1_REFINERY,Each,,INSTRUMENT_CLASS,Purchased Item,Active,74700.0,
