surface_form,canonical_form,attribute,note
MTD,MADE TO DIMENSION,sourcing,
STD,STANDARD,sourcing,
WGC,WORK GROUP,organisation,
CHP,COAL HANDLING PLANT,plant_area,seen in NTPC corpus
AHP,ASH HANDLING PLANT,plant_area,seen in NTPC corpus
STPP,SUPER THERMAL POWER PROJECT,plant_area,seen in NTPC corpus
TPD,TONNES PER DAY,capacity_unit,
TPH,TONNES PER HOUR,capacity_unit,
FGD,FLUE GAS DESULPHURISATION,plant_area,seen in NTPC corpus
ESP,ELECTROSTATIC PRECIPITATOR,plant_area,seen in NTPC corpus
BESS,BATTERY ENERGY STORAGE SYSTEM,item_type,seen in NTPC corpus


