scheme,standard_number,base_is_number,product_name,category,qco_notification
Scheme-I (ISI Mark),IS 8042,IS 8042,White Portland Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 8043,IS 8043,Hydrophobic Portland Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 8229,IS 8229,Oil well Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 16415: 2015,IS 16415,Composite Cement- Specification.,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 16993: 2018,IS 16993,Microfine Ordinary Portland Cement- Specification.,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 15895: 2018,IS 15895,High Alumina Refractory Cement.,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 12640 (,IS 12640,Residual current operated circuit breakers for house hold and similar uses-Part 1 Circuit breakers without integral overcurrent protection (RCCBs),Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 12640 (,IS 12640,Residual current operated circuit breakers for household and similar uses – Part 2 Circuit breakers with integral overcurrent protection(RCVOs),Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 13010,IS 13010,"AC watt-hour meters, class 0.5, 1 & 2",Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 13779,IS 13779,"AC static watt-hour meters, class 1 & 2",Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 14697,IS 14697,"AC static transformer operated watt-hour and VAR-hour meters, class 0.2S & 0.5S",Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 15111 (,IS 15111,Self Ballasted Lamps for General Lighting Services – Part 1 : Safety Requirements & Part 2 : Performance Requirements,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 302 (,IS 302,Safety of household and similar electrical appliances – Electric iron,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 302 (,IS 302,Safety of household and similar electrical appliances – Electric immersion water-heaters,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 302 (,IS 302,Safety of household and similar electrical appliances – Electric stoves,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 302 (,IS 302,Safety of household and similar electrical appliances-Room heaters,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 3854,IS 3854,Switches for domestic and similar purposes,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 418,IS 418,Tungsten filament general service electric lamps (upto100 W ),Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 694,IS 694,PVC insulated cables for working voltages up to and including 1100V,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 8828,IS 8828,Electrical Accessories-Circuit breakers for overcurrent protection for household and similar installations,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 9968 (,IS 9968,Elastomer insulated cables (Part.1): For working voltages up to and including1100 V,Household Electrical goods,"2. Electrical Wires, Cables, Appliances and Protection Devices and Accessories (Quality Control) Order, 2003 No. 189(E) dated 17 Feb 2003 Subsequent Amendments: S.O. 165(E) dated 5 Feb 2004 , S.O. 1172 (E) dated 22Aug 2005 , S.O. 512(E) dated 19 Feb 2009 , S.O. 2058(E) dated 7Aug 2009 & S.O. 2604 (E) dated 19 Oct.2010"
Scheme-I (ISI Mark),IS 8144,IS 8144,Multi-Purpose dry batteries,Batteries,"3. SO 516(E), dated 25th May 1987"
Scheme-I (ISI Mark),IS 15757,IS 15757,Follow – up formula – complimentary foods De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Food Safety & Standards Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 11536,IS 11536,Processed cereal based complementary foods De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Food Safety & Standards Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 1165,IS 1165,Milk-powder De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Food Safety & Standards Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 1166,IS 1166,"Condensed milk, partly skimmed and skimmed condensed milk De-notified from compulsory BIS certification",Food & Related Products De-notified from compulsory BIS certification,"Food Safety & Standards Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 12176,IS 12176,Sweetened ultra high temperature treated condensed milk De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Food Safety & Standards Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 13334 (,IS 13334,"Skimmed milk-powder, standard grade De-notified from compulsory BIS certification",Food & Related Products De-notified from compulsory BIS certification,Food Safety & Standards
Scheme-I (ISI Mark),IS 13334 (,IS 13334,"Skimmed milk-powder, extra grade De-notified from compulsory BIS certification",Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 13428,IS 13428,Packaged Natural Mineral Water De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 14433,IS 14433,Infant milk substitutes De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 17945: 2022,IS 17945,Food for Special Medical Purpose intended for Infants De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 14542,IS 14542,Partly skimmed milk powder De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 14543,IS 14543,Packaged Drinking Water (Other than Packaged Natural Mineral Water) De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 1656,IS 1656,Milk- cereal Based Complementary foods De-notified from compulsory BIS certification,Food & Related Products De-notified from compulsory BIS certification,"Prohibition & Restriction on Sales, Regulation, 2011 GSR 759(E) and GSR 760(E) Food Safety and Standards (Prohibition and Restrictions on sales) First Amendment Regulations, 2022, dated 31/08/2022 Food Safety and Standards (Prohibition and Restrictions on Sales) first Amendment Regulations, 2024."
Scheme-I (ISI Mark),IS 14625,IS 14625,Plastic Feeding Bottles,Food & Related Products De-notified from compulsory BIS certification,"4. The Infant Milk Substitutes, Feeding Bottles and Infant Foods (regulation of production, supply and distribution), Act 1992"
Scheme-I (ISI Mark),IS 5168,IS 5168,Glass Feeding Bottles,Food & Related Products De-notified from compulsory BIS certification,"4. The Infant Milk Substitutes, Feeding Bottles and Infant Foods (regulation of production, supply and distribution), Act 1992"
Scheme-I (ISI Mark),IS 10109,IS 10109,"Oil pressure stove, offset burner type",Food & Related Products De-notified from compulsory BIS certification,"5. Oil Pressure Stoves (Q.C) Order, 1997 SO 451(E) dated 16 June 1997"
Scheme-I (ISI Mark),IS 2787,IS 2787,Multi-burner oil pressure stoves,Food & Related Products De-notified from compulsory BIS certification,"5. Oil Pressure Stoves (Q.C) Order, 1997 SO 451(E) dated 16 June 1997"
Scheme-I (ISI Mark),IS 1342,IS 1342,Oil pressure stoves,Food & Related Products De-notified from compulsory BIS certification,"5. Oil Pressure Stoves (Q.C) Order, 1997 SO 451(E) dated 16 June 1997"
Scheme-I (ISI Mark),IS 13098,IS 13098,Automotive vehicles – Tubes for pneumatic tyres,Food & Related Products De-notified from compulsory BIS certification,"6. Pneumatic Tyres and Tubes for Automotive Vehicles (Quality Control) Order, 2009 S.O. No. 2953(E) dated 19-11-2009 Subsequent Amendments S.O. No. 1057 (E) dated 11-05-2010 S.O. No. 2758 (E) dated 9-11-2010"
Scheme-I (ISI Mark),IS 15627,IS 15627,Automotive vehicles – Pneumatic tyres for two and three-wheeled motor vehicles,Food & Related Products De-notified from compulsory BIS certification,"6. Pneumatic Tyres and Tubes for Automotive Vehicles (Quality Control) Order, 2009 S.O. No. 2953(E) dated 19-11-2009 Subsequent Amendments S.O. No. 1057 (E) dated 11-05-2010 S.O. No. 2758 (E) dated 9-11-2010"
Scheme-I (ISI Mark),IS 15633,IS 15633,Automotive vehicles-Pneumatic tyres for passenger car vehicles – Diagonal and radial ply,Food & Related Products De-notified from compulsory BIS certification,"6. Pneumatic Tyres and Tubes for Automotive Vehicles (Quality Control) Order, 2009 S.O. No. 2953(E) dated 19-11-2009 Subsequent Amendments S.O. No. 1057 (E) dated 11-05-2010 S.O. No. 2758 (E) dated 9-11-2010"
Scheme-I (ISI Mark),IS 15636,IS 15636,Automotive vehicles- Pneumatic tyres for commercial vehicles-Diagonal and radial ply,Food & Related Products De-notified from compulsory BIS certification,"6. Pneumatic Tyres and Tubes for Automotive Vehicles (Quality Control) Order, 2009 S.O. No. 2953(E) dated 19-11-2009 Subsequent Amendments S.O. No. 1057 (E) dated 11-05-2010 S.O. No. 2758 (E) dated 9-11-2010"
Scheme-I (ISI Mark),IS 14899,IS 14899,Liquefied petroleum gas containers for automotive use,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 15100,IS 15100,Multifunction valve assembly for permanently fixed liquefied petroleum gas (LPG) containers for automotive use,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3196 (,IS 3196,Welded low carbon steel cylinders exceeding 5 litre Water capacity for low pressure liquefiable gases Part 4 Cylinders for toxic and corrosive gases,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3196 (,IS 3196,Welded low carbon steel gas cylinder exceeding 5 litre water capacity for low pressure liquefiable gases Part1 Cylinders for liquefied petroleum gas (LPG),Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3196 (,IS 3196,Welded low carbon steel gas cylinder exceeding 5-litre water capacity for low pressure liquefiable gases Part 2 Cylinders for liquefiable gases other than LPG.,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3224,IS 3224,Valve fittings for compressed gas cylinder excluding liquefied petroleum gas cylinders,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3745,IS 3745,Yoke Type Valve Connection for Small Medical Gas Cylinders,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 7142,IS 7142,Welded low carbon steel cylinders for low pressure liquefiable gases not exceeding 5 litre water capacity,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 7285 (,IS 7285,Refillable Seamless steel gas cylinders Part1 Normalized steel cylinders,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 7285 (,IS 7285,Refillable Seamless steel gas cylinders Part 2 Quenched and tempered steel cylinders with tensile strength less than 1100 MPa (112 kgf/mm 2 ),Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 7302,IS 7302,Valve fittings for gas cylinder valves for use with breathing apparatus,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 7312,IS 7312,Welded and seamless steel dissolved acetylene gas cylinders,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 8737,IS 8737,Valve fittings for use with liquefied petroleum gas cylinders of more than 5 litre water capacity Part 2 Valve fittings for newly manufactured LPG cylinders,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 8776,IS 8776,Valve Fittings for Use with Liquefied Petroleum Gas (LPG) Cylinders up to and Including 5-Litre Water Capacity,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 9798,IS 9798,Low pressure regulators for use with liquefied petroleum gas (LPG) mixtures,Food & Related Products De-notified from compulsory BIS certification,"7. Explosive Act, 1884 Gas Cylinder Rules, 2016 G.S.R. No. 1081(E) Dt. 22-11-2016 Gas Cylinders (Amendment) Rules, 2026 G.S.R. 315(E) Dated 28 April, 2026 Gas Cylinders (Second Amendment) Rules, 2026 G.S.R. 447 (E) Dated 05 June, 2026"
Scheme-I (ISI Mark),IS 3055 (,IS 3055,Clinical thermometers :Part1 Solid stem type,Food & Related Products De-notified from compulsory BIS certification,"8. Clinical Thermometers (Quality Control), 2001 GSR No. 843(E) dated 9 Nov. 2001"
Scheme-I (ISI Mark),IS 3055 (,IS 3055,Clinical thermometers :Part 2 Enclosed scale type,Food & Related Products De-notified from compulsory BIS certification,"8. Clinical Thermometers (Quality Control), 2001 GSR No. 843(E) dated 9 Nov. 2001"
Scheme-I (ISI Mark),IS 7620 (,IS 7620,Diagnostic Medical X-Ray Equipment,Food & Related Products De-notified from compulsory BIS certification,"9. Diagnostic Medical X- Ray Equipment AERB/443/39 MDX/3509/94,Oct. 94"
