corpus_id,organization,source_system,source_section,tender_reference,tender_id,description,description_kind,item_type_hint,quantity,unit,location,product_category,document_url,source_url
M000013,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1756/1758,procurement_plan_item,,1752,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000014,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1774/1772,procurement_plan_item,,1617,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000015,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,19 Kg Cylinders (Including New & Replacement),procurement_plan_item,,,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000016,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,2-Hydroxy-4-n- octoxybenzophenone (Cyasorb 531/ UV-1),procurement_plan_item,,6,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000017,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,2004/20042,procurement_plan_item,,20041,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000018,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,20L Automatic Rotary Evaporation System,procurement_plan_item,,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000019,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,425 KG Cylinders,procurement_plan_item,,2000,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000020,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,47.5 Kg Cylinders (Including New & Replacement),procurement_plan_item,,,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000021,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,5 Kg Cylinders (Including New & Replacement),procurement_plan_item,,,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000022,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,6012/6015,procurement_plan_item,,6025,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000023,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,6038/6017,procurement_plan_item,,6102,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000024,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,6038/6102,procurement_plan_item,,6017,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000025,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,608 test bearings,procurement_plan_item,bearing,10,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000026,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,65684/65682,procurement_plan_item,,65646,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000027,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,8133/8120,procurement_plan_item,,8121,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000028,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,81621/81622/81623,procurement_plan_item,,8162,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000029,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,A3 Printer,procurement_plan_item,,1,No.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000030,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,ACDB Panel (Nos),procurement_plan_item,,147,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000031,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC for micro gas chromatograph,procurement_plan_item,,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000032,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC of BELSORP HP instrument,procurement_plan_item,instrument,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000033,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC of BET Surface area Analyzer,procurement_plan_item,instrument,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000034,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC of DCN Analyzer,procurement_plan_item,instrument,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000035,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC of Hydrogen Infrastructure,procurement_plan_item,,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000036,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,AMC of MATLAB software,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000037,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"AO1076 (Octadecyl β – (3,5-di- tert - butyl-4-hydroxy phenyl)-propionate",procurement_plan_item,,110,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000038,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"AO1076 (Octadecyl β – (3,5-di- tert -butyl-4- hydroxy phenyl)- propionate",procurement_plan_item,,110,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000039,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"AO1076 (Octadecyl β – (3,5-di- tert -butyl-4-hydroxy phenyl)- propionate",procurement_plan_item,,96,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000040,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,API 579 Software,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000041,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,API 610 Centrifugal Pump,procurement_plan_item,pump,4,No.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000042,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,API 6D Ball Valves (Nos),procurement_plan_item,ball valve,644,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000043,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,API 6D Valves (Nos),procurement_plan_item,valve,147,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000044,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,ATF (Aviation Turbine fuel) Merox catalyst – Pre impregnated activated charcoal,procurement_plan_item,turbine,36,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000045,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,ATF Merox Catalyst - Pre impregnated activated charcoal,procurement_plan_item,chemical,36,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000046,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Abel flash point apparatus,procurement_plan_item,,0.18,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000047,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Acrylic plates,procurement_plan_item,,,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000048,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Additive dosing machines,procurement_plan_item,,50,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000049,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Advanced Metallurgical Microscope,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000050,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Agitator & Mixer Spares,procurement_plan_item,spares,2,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000051,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Air Compressor,procurement_plan_item,compressor,15,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000052,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Air Conditioner Spares,procurement_plan_item,spares,2,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000053,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Air Dryer,procurement_plan_item,,4,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000054,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Air Ends of Screw Compressors,procurement_plan_item,compressor,37,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000055,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Alkyl Amine Ethoxylate ( ATMER 163 ) - for neutralization of Catalyst & Co catalyst and works as anti- static agent,procurement_plan_item,chemical,107,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000056,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Analyser in Stack & ambient air quality measurement for PM2.5 / PM10,procurement_plan_item,instrument,2,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000057,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Analytical balance,procurement_plan_item,,1,Nos,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000058,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anitoxidant AO 3114(1,3,5- Tris(3,5-di-tert-butyl-4- hydroxy benzyl)-s-triazine- 2,4,6-(1H,3H,5H)trione) - specialized vis- breaking chemical used for speci fic PP grade",procurement_plan_item,chemical,28,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000059,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anitoxidant AO 3114(1,3,5-Tris(3,5-di- tert-butyl-4-hydroxy benzyl)-s-triazine-2,4,6- (1H,3H,5H)trione) - specialized vis- breaking chemical used for speci fic PP grade",procurement_plan_item,chemical,28,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000060,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anti Oxidant (AO 1010) Pentaerythritol tetrakis(3- (3,5-di-tert- butyl-4- hydroxyphenyl)propionat e)",procurement_plan_item,,980,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000061,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anti Oxidant (AO 1010) Pentaerythritol tetrakis(3- (3,5-di-tert- butyl-4- hydroxyphenyl)propionate)",procurement_plan_item,,980,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000062,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anti Oxidant (AO 1010) Pentaerythritol tetrakis(3-(3,5- di-tert- butyl-4- hydroxyphenyl)propionate)",procurement_plan_item,,980,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000063,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Anti Oxidant (AO 1010) Pentaerythritol tetrakis(3-(3,5-di- tert-butyl-4- hydroxyphenyl)propionate)",procurement_plan_item,,980,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000064,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Anti Oxidant AO 168/ AO9,procurement_plan_item,,1565,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000065,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Anti chafe Chain,procurement_plan_item,,20,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000066,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Anti-Chafe Chains for Vadinar,procurement_plan_item,,14,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000067,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Antioxidant (AO-1330 ) - prevents polymer from degradation caused by exposure to heat, ultraviolet radiation (UV) and mechanical shear",procurement_plan_item,,52,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000068,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Antioxidant (AO-1330 ) -prevents polymer from degradation caused by exposure to heat, ultraviolet radiation (UV) and mechanical shear",procurement_plan_item,,52,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000069,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Antioxidant AO 3114(1,3,5-Tris(3,5- di-tert-butyl-4-hydroxy benzyl)-s- triazine-2,4,6-(1H,3H,5H)trione) - specialized vis- breaking chemical used for speci fic PP grade",procurement_plan_item,chemical,28,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000070,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Asphaltene Extraction system,procurement_plan_item,,4,,,Capex Procurement Projected,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000071,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Assay analysis of Fresh & Spent catalyst,procurement_plan_item,chemical,2,No.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000072,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Assay analysis of spent catalyst - required to quantify precious metal i.e. Palladium content in Spent catalyst for settlement of quantity of recovery of precious metal from spent catalyst,procurement_plan_item,chemical,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000073,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Automatic Multipurpose Reactor System,procurement_plan_item,,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000074,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Automatic Storage & Retrieval System for Petrochemical Warehouse,procurement_plan_item,,1,Set,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000075,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Automatic Titrator with KF,procurement_plan_item,,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000076,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Automatic smoke point,procurement_plan_item,,0.20,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000077,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"BALL VALVES of Duplex, Alloy 276",procurement_plan_item,ball valve,50,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000078,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bagging and Pelletizing Plant,procurement_plan_item,,4,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000079,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bale Film wrapper,procurement_plan_item,,1,Package,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000080,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bale Moisture Analyzer,procurement_plan_item,instrument,1,No.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000081,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Baler Package,procurement_plan_item,,1,Package,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000082,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Ball Valve (Nos),procurement_plan_item,ball valve,72.60,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000083,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Balls and plates for tribometer,procurement_plan_item,,200,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000084,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Basket Strainer (Nos),procurement_plan_item,filter,60,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000085,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bearings,procurement_plan_item,bearing,5,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000086,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Benchmarking study for P-25 Project,procurement_plan_item,,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000087,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Benchtop Automatic Rotary Evaporation System,procurement_plan_item,,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000088,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Benzene hydrogenation catalyst for ISOM unit,procurement_plan_item,chemical,2.1,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000089,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Biodiesel-Analyser,procurement_plan_item,instrument,1,No,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000090,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Biomass Shredder,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000091,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Biomass gasification based hydrogen production demo plant,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000092,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bottom mounted constant spring support,procurement_plan_item,,24,Nos,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000093,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bulk (Pipe/Fittings/Flanges/Valve),procurement_plan_item,valve,193.72,LOT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000094,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bulk(Pipe/Fittings/Flanges/Va lve),procurement_plan_item,pipe,144,LOT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000095,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Bulk(Pipe/Fittings/Flanges/Valve),procurement_plan_item,valve,90.00,LOT,,Refineries,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000096,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Burner for Process heaters,procurement_plan_item,,4,Set,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000097,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Business Analytics Software,procurement_plan_item,,2,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000098,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,C-S Analyser,procurement_plan_item,instrument,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000099,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CAB catalyst,procurement_plan_item,chemical,18,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000100,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CAB-2 catalyst (Blend of vanadium oxytrichloride & titanium tetrachloride 50/50),procurement_plan_item,chemical,35,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000101,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CCTV spares / modules,procurement_plan_item,spares,93,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000102,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CENTRIFUGAL COMPRESSOR SPP,procurement_plan_item,compressor,1,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000103,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CHNS Analyser,procurement_plan_item,instrument,0.50,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000104,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CLARIANT OleMax 101 (8mm Spheres),procurement_plan_item,,62588,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000105,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,CLO Filter package,procurement_plan_item,filter,1,Package,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000106,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Cables (Control / Power) in RMs,procurement_plan_item,cable,0.50,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000107,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Carbon Monoxide (CO) promoter catalyst additive for FCC Unit,procurement_plan_item,chemical,16,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000108,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Carousal Cards in Nos,procurement_plan_item,,360,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000109,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Carousel,procurement_plan_item,,20,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000110,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Catalyst Metering Unit Package along with Catalyst transfer syringes,procurement_plan_item,chemical,1,Package,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000111,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Catalyst Slurry,procurement_plan_item,chemical,1,no,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000112,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Catalyst for DCU LPG Merox Unit,procurement_plan_item,chemical,547,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000113,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Centering Arms of carousals,procurement_plan_item,,2250,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000114,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Centrifugal Pump,procurement_plan_item,pump,159,EA,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000115,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Centrifuge,procurement_plan_item,,1,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000116,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Check Valves (exotic metallurgy, dual plate, swing type, duplex)",procurement_plan_item,check valve,14,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000117,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Chemicals, Catalyst & Additives",procurement_plan_item,chemical,21,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000118,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,"Chemicals, Catalyst & additives",procurement_plan_item,chemical,24,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000119,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Chemisorption,procurement_plan_item,,1,no,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000120,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Chloride Guard Bed Adsorbent,procurement_plan_item,,1,Lot,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000121,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Chloride guard adsorbent for Continuous Catalytic Reforming Unit (CCRU) stabilizer feed,procurement_plan_item,,30.5,MT,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000122,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,Claus Catalyst (Al based),procurement_plan_item,chemical,151.2,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
